rank,username,ptcg_id,area,points
138,Cct_Kuro,tw75152965,高雄市,0pt
139,Timmy,tw05499634,新北市,0pt
140,Tinlin,tw14215402,宜蘭縣,0pt
141,Alan,tw18197442,臺北市,0pt
142,Ditto.1,tw33562653,新北市,0pt
143,Eric,tw17896772,臺北市,0pt
144,GHO,tw18716707,宜蘭縣,0pt
145,KBAlan,tw60895624,臺北市,0pt
146,Leohu,tw80676630,臺北市,0pt
147,Momkey,tw32503844,新北市,0pt
148,Sun,tw02578849,臺北市,0pt
149,Yu,tw77197938,桃園市,0pt
150,Jerrychi,tw52648273,臺中市,0pt
151,WUJIASIANG,tw42891021,彰化縣,0pt
152,bruno,tw48025754,新北市,0pt
153,Beck,tw93719435,高雄市,0pt
154,OP_Sharon,tw18336767,臺中市,0pt
155,Satoru,tw95235085,桃園市,0pt
156,Zoe,tw23419853,新北市,0pt
157,mario,tw39857794,臺北市,0pt
158,112,tw90833842,桃園市,0pt
159,Jirachi_chen,tw04996089,臺南市,0pt
160,Leo,tw00444865,高雄市,0pt
161,Zhamao.,tw53413653,新北市,0pt
162,yoyo-N1ARK,tw87775945,高雄市,0pt
163,cliffwu,tw74070399,臺中市,0pt
164,0,tw69848771,臺北市,0pt
165,Fabre,tw08308725,臺北市,0pt
166,IYiu,tw41690897,彰化縣,0pt
167,Iris,tw92407763,桃園市,0pt
168,JeremyWei,tw77877011,苗栗縣,0pt
169,Kaya,tw37808612,新北市,0pt
170,Leo,tw75475628,臺北市,0pt
171,Mario,tw52987791,臺北市,0pt
172,XinChen,tw15567133,新北市,0pt
173,大元,tw52615670,臺中市,0pt
174,Justin-N1ARK,tw56036096,高雄市,0pt
175,TW_scary,tw91316813,臺南市,0pt
176,OPsally,tw04232774,臺中市,0pt
177,Closer,tw45505316,基隆市,0pt
178,Jacksonlu,tw87526696,彰化縣,0pt
179,Klefki_Ed,tw07064691,高雄市,0pt
180,Lin,tw01701324,高雄市,0pt
181,showyu,tw44862480,高雄市,0pt
182,Bulbasaur,tw37435098,臺北市,0pt
183,EASON,tw02658166,彰化縣,0pt
184,Ian,tw54166685,臺中市,0pt
185,Ian,tw98560313,臺北市,0pt
186,Jayden,tw68369036,臺中市,0pt
187,Jim,tw25195359,彰化縣,0pt
188,Jirachi_ivan,tw50023354,臺南市,0pt
189,Kai,tw21335372,臺中市,0pt
190,LYM,tw90560772,雲林縣,0pt
191,LeeHandsome,tw10322586,雲林縣,0pt
192,PanLeo0810,tw90812581,新北市,0pt
193,Phoenixweng,tw36372317,苗栗縣,0pt
194,Wu,tw24120338,嘉義市,0pt
195,benny,tw03402017,高雄市,0pt
196,Alan,tw31006483,臺中市,0pt
197,Kimi,tw78926465,新北市,0pt
198,Max,tw46985962,臺北市,0pt
199,Sean,tw44293844,臺中市,0pt
200,TG_Oscar,tw79421519,新北市,0pt
201,Yuyou,tw24543994,高雄市,0pt
202,Dunham,tw79062560,宜蘭縣,0pt
203,Xinyu,tw67716132,臺北市,0pt
204,Yenyen,tw81291690,新北市,0pt
205,Ben,tw67016854,苗栗縣,0pt
