rank,username,ptcg_id,area,points
137,薄荷Echo,tw55332465,高雄市,0pt
138,ChiMing,tw36747145,桃園市,0pt
139,^-^,tw16965198,臺北市,0pt
140,Fin,tw88792767,新北市,0pt
141,Forehead,tw37173355,新北市,0pt
142,Warrior5454,tw54988993,桃園市,0pt
143,kang,tw92544749,新北市,0pt
144,ting,tw18906406,新北市,0pt
145,享玩_帆帆帆帆,tw69069593,桃園市,0pt
146,ChengChih,tw91826663,桃園市,0pt
147,LinPo,tw79802506,高雄市,0pt
148,ADi,tw99926791,嘉義市,0pt
149,Knightvc,tw64863333,新北市,0pt
150,Pinkey,tw04722294,高雄市,0pt
151,Tenya,tw73911906,新竹縣,0pt
152,Yue,tw61533794,臺北市,0pt
153,Biaoz,tw00357547,新北市,0pt
154,Blac3Ace,tw52806758,臺北市,0pt
155,CTSYUHAO,tw24889276,嘉義縣,0pt
156,NiGHT,tw35717087,臺南市,0pt
157,OldWang,tw33446875,新竹縣,0pt
158,felix,tw12363623,臺北市,0pt
159,LNG+1,tw02367054,屏東縣,0pt
160,Ray,tw91072286,臺南市,0pt
161,broday,tw73917548,臺北市,0pt
162,linhoching,tw02856732,臺南市,0pt
163,Benny,tw94173678,臺中市,0pt
164,Eyang,tw07314439,臺北市,0pt
165,PPT_Salmon,tw49159270,臺中市,0pt
166,cxy,tw84592025,桃園市,0pt
167,AdamChia,tw87510571,高雄市,0pt
168,FrankChu,tw48512422,新北市,0pt
169,GHG_Faye,tw38086655,臺北市,0pt
170,Hanji,tw21351845,高雄市,0pt
171,HungYaoWang,tw71029745,臺北市,0pt
172,Ian,tw17213475,臺中市,0pt
173,Rjjiang,tw59882595,臺中市,0pt
174,TCGSTORE_HSUAN,tw49340794,臺北市,0pt
175,YaoTing,tw93947447,新北市,0pt
176,:(,tw50858481,桃園市,0pt
177,BonBon,tw09269089,新竹市,0pt
178,HEJIAYING,tw49698910,新北市,0pt
179,HowDaOh,tw32950344,臺北市,0pt
180,Nathan0314,tw79834153,臺北市,0pt
181,Tym,tw83751916,新北市,0pt
182,sasashark,tw19522331,新北市,0pt
183,永遠喜歡愛莉西亞,tw15176221,臺南市,0pt
184,Bear'sParty,tw96922965,屏東縣,0pt
185,Bulu8827,tw95198982,臺中市,0pt
186,Dantes,tw13965222,高雄市,0pt
187,Eup,tw72630270,新北市,0pt
188,ddjoker,tw15701546,臺南市,0pt
189,wangzan,tw48526697,彰化縣,0pt
190,Bread,tw65936819,新北市,0pt
191,Dabethan,tw63016626,高雄市,0pt
192,DoD,tw40338935,臺南市,0pt
193,Foxfool2527,tw62197981,屏東縣,0pt
194,HSU,tw02991787,新竹縣,0pt
195,HaoLei_Fish,tw10864190,新北市,0pt
196,JH,tw25974925,彰化縣,0pt
197,KCyen,tw47904340,宜蘭縣,0pt
198,KuangChanHo,tw93405316,臺北市,0pt
199,LUGIA,tw38080173,高雄市,0pt
200,Ming,tw90996252,宜蘭縣,0pt
201,Raptor,tw62315993,桃園市,0pt
202,jason1201,tw11247537,宜蘭縣,0pt
203,RichardWu,tw61583819,新北市,0pt
204,AhXin,tw79270381,臺北市,0pt
205,Big3_Samson,tw74371443,臺中市,0pt
206,Cathyu,tw29731640,新北市,0pt
207,Eason,tw59471628,基隆市,0pt
208,Jazpig,tw33433069,新竹縣,0pt
209,Jimin,tw69372013,臺中市,0pt
210,Sharky,tw58450010,桃園市,0pt
211,TaipeiCCC,tw45696531,臺北市,0pt
212,Victor,tw76369505,新北市,0pt
213,barrywang,tw60180669,臺北市,0pt
214,hyc,tw41286139,新竹市,0pt
215,mingchia,tw21601458,高雄市,0pt
216,yolin,tw28179733,臺北市,0pt
217,JayC,tw07460167,新北市,0pt
218,Shai,tw23412539,嘉義市,0pt
219,SheuCheWei,tw36138720,臺北市,0pt
220,應威德,tw89449964,新北市,0pt
221,風龍是我的手下敗將,tw43380150,臺中市,0pt
222,Afro0128,tw73975912,新竹市,0pt
223,Break,tw95045687,新竹市,0pt
224,CHENBOXUN,tw39494537,臺中市,0pt
225,Durant,tw56468849,高雄市,0pt
226,Kai,tw90337288,新竹縣,0pt
227,Owen,tw13120137,新北市,0pt
228,Pien,tw54549171,桃園市,0pt
229,mj730709,tw66591069,新北市,0pt
230,ms0304711,tw68763677,臺北市,0pt
231,狡猾的路人甲,tw88860465,臺南市,0pt
232,Billy,tw13569448,桃園市,0pt
233,Jester,tw63343435,彰化縣,0pt
234,"KANG,TAI-YUAN",tw64460639,新北市,0pt
235,Noc,tw24742864,新北市,0pt
236,Xin,tw97666473,新北市,0pt
237,Zhe,tw37257975,新北市,0pt
238,Adan,tw93829445,高雄市,0pt
239,Cy,tw45233917,新北市,0pt
240,Hao,tw33171149,彰化縣,0pt
241,Mazu,tw37918429,桃園市,0pt
242,MoonCake,tw30898169,新北市,0pt
243,Pululu,tw11512917,新竹縣,0pt
244,Superpig,tw95668915,高雄市,0pt
245,Yun,tw13224458,臺中市,0pt
246,jxjason,tw40274722,臺北市,0pt
247,real1027,tw99213849,新竹縣,0pt
248,vincent,tw16728082,新北市,0pt
249,yogioh0,tw06072288,桃園市,0pt
250,yuhina,tw86437657,高雄市,0pt
251,LINYUSIANG,tw27419844,雲林縣,0pt
252,Lazurite,tw41523616,臺中市,0pt
253,Ole',tw72966382,新北市,0pt
254,Tony777,tw89297350,臺中市,0pt
255,靖儒,tw46020620,嘉義市,0pt
256,Allen,tw73187416,臺中市,0pt
257,CY,tw05715928,臺北市,0pt
258,ChangHsinChen,tw60920600,新北市,0pt
259,Charlie,tw64567116,臺中市,0pt
260,Eric,tw84406921,新北市,0pt
261,Fengpai-Lee,tw54347311,桃園市,0pt
262,Goodmouse,tw04959593,新北市,0pt
263,Hypno_Sammu,tw25488947,臺中市,0pt
264,J,tw27758570,臺北市,0pt
265,Janet,tw13786805,臺北市,0pt
266,Liang,tw36942940,彰化縣,0pt
267,OrangeW,tw24266071,新北市,0pt
268,abao,tw26582888,高雄市,0pt
269,soraPanic,tw46423373,臺北市,0pt
270,wei,tw99738792,屏東縣,0pt
271,Bryn,tw72174151,新北市,0pt
272,GUAN-LUN-CHEN,tw01012666,新北市,0pt
273,Joe,tw37765295,臺北市,0pt
274,Melvin,tw40620066,高雄市,0pt
275,FF,tw76568846,新北市,0pt
276,Fan,tw32717439,桃園市,0pt
277,Jack,tw77414759,臺北市,0pt
278,Noir,tw83663725,雲林縣,0pt
279,Raysun,tw70273656,臺北市,0pt
280,Shin,tw14788730,臺北市,0pt
281,Siang,tw25684532,臺中市,0pt
282,Skylar,tw59548820,臺北市,0pt
283,XJH_Chuiyi,tw52301948,新北市,0pt
284,YO,tw57196950,新竹市,0pt
285,Yu,tw94518932,彰化縣,0pt
286,Yuh,tw11642031,高雄市,0pt
287,Jason,tw10410998,新北市,0pt
288,MIAWO,tw90694553,嘉義市,0pt
289,Zhang1205,tw22171154,高雄市,0pt
290,Beef,tw79411276,新北市,0pt
291,ChiaChia,tw85568194,高雄市,0pt
292,Friedrich,tw15171356,桃園市,0pt
293,HOME洋,tw77699656,高雄市,0pt
294,JHE,tw30419396,臺北市,0pt
295,JOKE,tw68209178,新北市,0pt
296,Justin,tw16280450,臺北市,0pt
297,Lalabear,tw55319617,高雄市,0pt
298,Leona,tw09225948,新竹縣,0pt
299,Mareep,tw88521370,臺中市,0pt
300,OGP_Tim,tw80527710,高雄市,0pt
301,Sean666,tw46437830,臺中市,0pt
302,WangLin,tw50680843,高雄市,0pt
303,YoyoYang,tw57062134,新北市,0pt
304,hihilifestyle,tw67604361,新北市,0pt
305,house,tw75352342,新北市,0pt
306,kojiloo,tw38671111,新北市,0pt
307,rober,tw88843922,桃園市,0pt
308,Misutirara,tw07211448,臺北市,0pt
309,Aden,tw52162016,新北市,0pt
310,Bilitherubin,tw38743212,新北市,0pt
311,Bruce_Chen,tw23712439,新北市,0pt
312,Fi_ZhengYang,tw11047177,高雄市,0pt
313,LittleLin,tw13366339,臺中市,0pt
314,MW-pang,tw45178021,高雄市,0pt
315,Mugen,tw66907796,臺南市,0pt
316,Oops,tw95345106,桃園市,0pt
317,Xiaogotall,tw58532021,高雄市,0pt
