rank,username,ptcg_id,area,points
1,JayWu100,tw85313935,新北市,335pt
2,TCGSTORE_SHAOTONG,tw03103631,臺北市,330pt
3,andrew,tw00057543,新北市,263pt
4,James,tw34406887,新竹縣,257pt
5,TheONE_LINYOUYI,tw08069127,新北市,250pt
6,Toby,tw29265523,新北市,239pt
7,Iyiu,tw57615176,彰化縣,235pt
8,TheONE_KuoPinYi,tw96234784,臺北市,233pt
9,Evan,tw91677599,新北市,225pt
10,kevin,tw48711959,彰化縣,220pt
11,Tim,tw89368672,新北市,217pt
12,AndrewChung,tw89973725,高雄市,215pt
13,FanFan,tw76708967,新北市,213pt
13,smallfiredragon,tw12360786,新北市,213pt
15,Jerry,tw09468385,臺北市,195pt
15,YuAn._84,tw12769027,新北市,195pt
17,B.N.C 林宇廷,tw37556303,高雄市,187pt
18,LINCHENJUI,tw91466649,新北市,185pt
19,Anka,tw54587316,新北市,175pt
20,Dream-N1ARK,tw54462001,高雄市,159pt
21,TCGSTORE_Mike,tw55774266,桃園市,153pt
22,benjamin,tw40670915,桃園市,150pt
23,Rich,tw36653768,新北市,148pt
24,HAO-YU,tw65972314,新北市,144pt
24,Leon,tw49181959,新北市,144pt
26,ED,tw97066779,高雄市,142pt
27,PTCG-BOY,tw18142838,臺北市,140pt
28,Henry,tw82259698,新竹市,137pt
29,Wade010926,tw42986392,臺北市,133pt
30,KB_QQQQQQ,tw42619471,新北市,131pt
31,Mew_宥緯wade,tw81124094,新北市,129pt
32,Jimmy,tw22147179,新竹縣,128pt
33,Joshua,tw58176881,新竹市,123pt
34,1-3,tw66599212,彰化縣,122pt
35,B.N.C 林奕杰,tw75131206,高雄市,117pt
36,Klefki_Timmy,tw74697953,高雄市,109pt
37,Sean,tw65322738,臺北市,108pt
38,POCHUN.CHEN,tw94001188,新竹縣,106pt
38,Santos,tw70719415,新竹縣,106pt
40,EricYang,tw04887888,高雄市,103pt
41,MJ,tw00570442,臺北市,102pt
42,Joseph,tw45957987,新北市,99pt
42,Legoboy,tw97627454,桃園市,99pt
42,PAISELY,tw48442445,臺北市,99pt
