rank,username,ptcg_id,area,points
137,Jirachi_chen,tw04996089,臺南市,22pt
137,Leo,tw00444865,高雄市,22pt
137,Zhamao.,tw53413653,新北市,22pt
137,oneday,tw26859059,高雄市,22pt
137,yoyo-N1ARK,tw87775945,高雄市,22pt
143,Jerrychi,tw52648273,臺中市,21pt
144,0,tw69848771,臺北市,20pt
144,Fabre,tw08308725,臺北市,20pt
144,IYiu,tw41690897,彰化縣,20pt
144,Iris,tw92407763,桃園市,20pt
144,JeremyWei,tw77877011,苗栗縣,20pt
144,YUE,tw09225755,南投縣,20pt
144,大元,tw52615670,臺中市,20pt
151,TW_scary,tw91316813,臺南市,19pt
151,Xinyu,tw67716132,臺北市,19pt
153,OPsally,tw04232774,臺中市,18pt
153,PenguinCanFly,tw58583808,臺北市,18pt
155,Closer,tw45505316,基隆市,17pt
155,Eric,tw17896772,臺北市,17pt
157,Cui,tw55359182,新北市,16pt
157,Jacksonlu,tw87526696,彰化縣,16pt
157,Jimmy,tw32262790,臺北市,16pt
157,Klefki_Ed,tw07064691,高雄市,16pt
157,Lin,tw01701324,高雄市,16pt
157,shark,tw27088222,桃園市,16pt
157,showyu,tw44862480,高雄市,16pt
164,EASON,tw02658166,彰化縣,15pt
164,Ian,tw54166685,臺中市,15pt
164,Ian,tw98560313,臺北市,15pt
164,Jayden,tw68369036,臺中市,15pt
164,Jim,tw25195359,彰化縣,15pt
164,Justin-N1ARK,tw56036096,高雄市,15pt
164,Kai,tw21335372,臺中市,15pt
164,LYM,tw90560772,雲林縣,15pt
164,LeeHandsome,tw10322586,雲林縣,15pt
164,PanLeo0810,tw90812581,新北市,15pt
164,Wu,tw24120338,嘉義市,15pt
164,benny,tw03402017,高雄市,15pt
176,Alan,tw31006483,臺中市,14pt
176,Kimi,tw78926465,新北市,14pt
176,LeeFour,tw52776388,高雄市,14pt
176,Max,tw46985962,臺北市,14pt
176,TG_Oscar,tw79421519,新北市,14pt
176,Yuyou,tw24543994,高雄市,14pt
182,Dunham,tw79062560,宜蘭縣,13pt
182,Yenyen,tw81291690,新北市,13pt
184,Ben,tw67016854,苗栗縣,12pt
184,Dragon,tw22280877,臺北市,12pt
184,Ivan,tw06195770,新北市,12pt
184,JAY,tw12516852,高雄市,12pt
184,Jelly,tw74783492,新北市,12pt
184,JoeyChang0521,tw89882541,新竹縣,12pt
190,Mike_wu,tw83426001,宜蘭縣,11pt
191,Alice,tw61675906,桃園市,10pt
191,Austin,tw03773578,臺北市,10pt
191,Bing,tw00283867,臺東縣,10pt
191,Brandon,tw98521904,新北市,10pt
191,Diego-N1ARK,tw57159167,高雄市,10pt
191,DoDo,tw42212253,新北市,10pt
191,EasonLee,tw98121463,新北市,10pt
191,Ethan,tw40518907,新北市,10pt
191,Golden,tw44119672,新北市,10pt
191,Harvey:),tw87179489,臺北市,10pt
191,Henry,tw23702739,桃園市,10pt
191,Jacob656,tw88469337,臺北市,10pt
191,James,tw53425245,桃園市,10pt
191,Jatt,tw56919295,新北市,10pt
191,Jeremy,tw20171459,臺北市,10pt
191,Mark0712,tw71446090,新北市,10pt
191,Miffy,tw52014839,彰化縣,10pt
191,Mingchen,tw89039996,新北市,10pt
191,Nick,tw61170081,高雄市,10pt
191,Oscar,tw83739705,桃園市,10pt
191,SAM,tw55309622,新北市,10pt
191,Sean,tw44293844,臺中市,10pt
191,Sheep,tw55628257,臺中市,10pt
191,Taro,tw92318109,新北市,10pt
191,Tommy,tw51647865,新北市,10pt
191,ViolaLiau,tw27584631,苗栗縣,10pt
191,dittoman,tw77197938,桃園市,10pt
191,iamnotman0000,tw02105248,臺北市,10pt
191,joker,tw98027117,雲林縣,10pt
191,mark,tw75127727,高雄市,10pt
191,pig,tw15417650,新北市,10pt
191,sega,tw27254700,臺北市,10pt
223,Jirachi_ivan,tw50023354,臺南市,9pt
223,K.C,tw53499208,苗栗縣,9pt
225,1000Fu,tw73188216,彰化縣,8pt
225,7you1ting,tw61541085,高雄市,8pt
225,Anna,tw33976962,新北市,8pt
225,Beck,tw93719435,高雄市,8pt
225,Chen,tw89692020,新竹縣,8pt
225,Cooper,tw33233319,新竹市,8pt
225,Fabio,tw91680832,臺中市,8pt
225,Hank,tw25778802,高雄市,8pt
225,Ian,tw95217073,臺北市,8pt
225,Ian,tw30147118,高雄市,8pt
225,Leo0825,tw68703676,高雄市,8pt
225,OP_Sharon,tw18336767,臺中市,8pt
225,Satoru,tw95235085,桃園市,8pt
225,Terry,tw32701908,桃園市,8pt
225,Ting,tw90305952,高雄市,8pt
225,YO,tw68119802,高雄市,8pt
225,chen,tw48315800,新竹市,8pt
242,Aix,tw07040865,高雄市,6pt
242,Alice,tw48874828,臺中市,6pt
242,B3NN3Tt,tw08788083,高雄市,6pt
242,Bob,tw61311183,新北市,6pt
242,Charlie,tw40490299,桃園市,6pt
242,Chenyen,tw81036560,新竹市,6pt
242,Chloe,tw03523852,臺中市,6pt
242,Clayton,tw28434285,新北市,6pt
242,Eason,tw68774056,新北市,6pt
242,Eason,tw22332732,新北市,6pt
242,Elson,tw95797097,桃園市,6pt
242,Henry,tw21355635,新北市,6pt
242,Henry,tw57273060,新北市,6pt
242,Henry,tw62892033,新北市,6pt
242,Howard,tw54264773,南投縣,6pt
242,Howard,tw31295126,高雄市,6pt
242,Jack,tw87593420,宜蘭縣,6pt
242,James,tw10133658,新北市,6pt
242,Kai,tw54206403,嘉義市,6pt
242,Laurum,tw12039685,高雄市,6pt
242,Mario,tw80139189,臺北市,6pt
242,Marshal,tw33463324,宜蘭縣,6pt
242,OuO,tw92027316,新北市,6pt
242,PeytonB886,tw86866405,彰化縣,6pt
242,Ray,tw07566360,臺北市,6pt
242,Ray,tw83766750,高雄市,6pt
242,Ryan,tw53917462,新北市,6pt
242,Ryanliang,tw75000248,新北市,6pt
242,Sean777,tw04850060,苗栗縣,6pt
242,Shygo,tw04986951,彰化縣,6pt
242,Tzo,tw35693495,花蓮縣,6pt
242,Unasong,tw64903698,臺北市,6pt
242,Wang,tw55045145,高雄市,6pt
242,Will7777,tw55993300,臺中市,6pt
242,Yoyo,tw75508081,臺南市,6pt
242,kevin,tw06774867,桃園市,6pt
242,li._0228,tw94315025,臺南市,6pt
242,space,tw27558785,臺中市,6pt
242,wei,tw68923388,南投縣,6pt
242,白米,tw20051527,臺中市,6pt
