rank,username,ptcg_id,area,points
135,JoeChen,tw45324854,新北市,82pt
135,ericyang,tw96387195,新北市,82pt
135,Bread,tw65936819,新北市,82pt
140,ChenChuXiang,tw66134077,嘉義縣,81pt
140,Ricky,tw42527004,臺南市,81pt
140,翻轉-黃偉哲,tw40852343,臺南市,81pt
140,CLZ,tw60311204,臺北市,81pt
144,Bill,tw88559975,臺中市,80pt
144,GZ_ChuanGe,tw40123518,臺北市,80pt
144,Ken,tw82119121,臺南市,80pt
147,ChiMing,tw36747145,桃園市,79pt
147,^-^,tw16965198,臺北市,79pt
149,Fin,tw88792767,新北市,78pt
149,Forehead,tw37173355,新北市,78pt
149,Warrior5454,tw54988993,桃園市,78pt
149,kang,tw92544749,新北市,78pt
149,享玩_帆帆帆帆,tw69069593,桃園市,78pt
149,broday,tw73917548,臺北市,78pt
155,ChengChih,tw91826663,桃園市,77pt
155,LinPo,tw79802506,高雄市,77pt
157,ADi,tw99926791,嘉義市,76pt
157,Knightvc,tw64863333,新北市,76pt
157,Pinkey,tw04722294,高雄市,76pt
157,Tenya,tw73911906,新竹縣,76pt
157,Yue,tw61533794,臺北市,76pt
162,Biaoz,tw00357547,新北市,75pt
162,Blac3Ace,tw52806758,臺北市,75pt
162,CTSYUHAO,tw24889276,嘉義縣,75pt
162,NiGHT,tw35717087,臺南市,75pt
162,OldWang,tw33446875,新竹縣,75pt
162,felix,tw12363623,臺北市,75pt
168,LNG+1,tw02367054,屏東縣,74pt
168,Ray,tw91072286,臺南市,74pt
168,linhoching,tw02856732,臺南市,74pt
168,TCGSTORE_HSUAN,tw49340794,臺北市,74pt
172,Benny,tw94173678,臺中市,73pt
172,Eyang,tw07314439,臺北市,73pt
172,PPT_Salmon,tw49159270,臺中市,73pt
172,cxy,tw84592025,桃園市,73pt
176,AdamChia,tw87510571,高雄市,72pt
176,FrankChu,tw48512422,新北市,72pt
176,GHG_Faye,tw38086655,臺北市,72pt
176,Hanji,tw21351845,高雄市,72pt
176,HungYaoWang,tw71029745,臺北市,72pt
176,Ian,tw17213475,臺中市,72pt
176,Rjjiang,tw59882595,臺中市,72pt
176,YaoTing,tw93947447,新北市,72pt
176,Raptor,tw62315993,桃園市,72pt
185,:(,tw50858481,桃園市,71pt
185,BonBon,tw09269089,新竹市,71pt
185,HEJIAYING,tw49698910,新北市,71pt
185,Nathan0314,tw79834153,臺北市,71pt
185,Tym,tw83751916,新北市,71pt
185,sasashark,tw19522331,新北市,71pt
185,永遠喜歡愛莉西亞,tw15176221,臺南市,71pt
192,Bear'sParty,tw96922965,屏東縣,70pt
192,Bulu8827,tw95198982,臺中市,70pt
192,Dantes,tw13965222,高雄市,70pt
192,Eup,tw72630270,新北市,70pt
192,ddjoker,tw15701546,臺南市,70pt
192,wangzan,tw48526697,彰化縣,70pt
192,Fengpai-Lee,tw54347311,桃園市,70pt
199,Dabethan,tw63016626,高雄市,68pt
199,DoD,tw40338935,臺南市,68pt
199,Foxfool2527,tw62197981,屏東縣,68pt
199,HSU,tw02991787,新竹縣,68pt
199,HaoLei_Fish,tw10864190,新北市,68pt
199,JH,tw25974925,彰化縣,68pt
199,KCyen,tw47904340,宜蘭縣,68pt
199,KuangChanHo,tw93405316,臺北市,68pt
199,LUGIA,tw38080173,高雄市,68pt
199,Ming,tw90996252,宜蘭縣,68pt
199,jason1201,tw11247537,宜蘭縣,68pt
210,RichardWu,tw61583819,新北市,67pt
211,AhXin,tw79270381,臺北市,66pt
211,Big3_Samson,tw74371443,臺中市,66pt
211,Cathyu,tw29731640,新北市,66pt
211,Eason,tw59471628,基隆市,66pt
211,Jazpig,tw33433069,新竹縣,66pt
211,Sharky,tw58450010,桃園市,66pt
211,TaipeiCCC,tw45696531,臺北市,66pt
211,barrywang,tw60180669,臺北市,66pt
211,hyc,tw41286139,新竹市,66pt
211,mingchia,tw21601458,高雄市,66pt
211,yolin,tw28179733,臺北市,66pt
211,vincent,tw16728082,新北市,66pt
223,JayC,tw07460167,新北市,65pt
223,Shai,tw23412539,嘉義市,65pt
223,SheuCheWei,tw36138720,臺北市,65pt
223,應威德,tw89449964,新北市,65pt
223,風龍是我的手下敗將,tw43380150,臺中市,65pt
228,Afro0128,tw73975912,新竹市,64pt
228,Break,tw95045687,新竹市,64pt
228,CHENBOXUN,tw39494537,臺中市,64pt
228,Durant,tw56468849,高雄市,64pt
228,Kai,tw90337288,新竹縣,64pt
228,Owen,tw13120137,新北市,64pt
228,Pien,tw54549171,桃園市,64pt
228,mj730709,tw66591069,新北市,64pt
228,ms0304711,tw68763677,臺北市,64pt
228,狡猾的路人甲,tw88860465,臺南市,64pt
238,Billy,tw13569448,桃園市,63pt
238,Jester,tw63343435,彰化縣,63pt
238,"KANG,TAI-YUAN",tw64460639,新北市,63pt
238,Noc,tw24742864,新北市,63pt
238,Xin,tw97666473,新北市,63pt
238,Zhe,tw37257975,新北市,63pt
244,Adan,tw93829445,高雄市,62pt
244,Cy,tw45233917,新北市,62pt
