rank,points,username,player_id,region,deck_url
1,20,Moon,tw97931731,臺北市,
2,12,RexChen,tw85026999,臺中市,
3,10,86,tw94971550,臺北市,
4,10,FrankChu,tw48512422,新北市,
5,8,Viveka,tw21820105,桃園市,
6,8,JeffYang,tw51209816,臺北市,
7,8,OrangeW,tw24266071,新北市,
8,8,Ken,tw59339894,臺北市,
9,6,SHAWN,tw27017315,臺北市,
10,6,lanfone,tw17852306,臺北市,
11,6,"Cheng-Yang,Hsiao",tw62960654,臺北市,
12,6,Hsu429,tw36256363,新北市,
13,6,Dragon,tw22280877,臺北市,
14,6,Janet,tw13786805,臺北市,
15,6,Max,tw46985962,臺北市,
16,6,MysteriousM0314,tw06221510,臺北市,
