rank,points,username,player_id,region,deck_url
1,20,Tinlin,tw14215402,宜蘭縣,
2,12,Kai,tw90337288,新竹縣,
3,10,Shanks,tw28750216,新北市,
4,10,Lucas,tw95547681,宜蘭縣,
5,8,TopCard_Fu,tw77877383,新竹縣,
6,8,barrywang,tw60180669,臺北市,
7,8,Kaikaiwang,tw06034751,臺北市,
8,8,kay,tw48927744,基隆市,
9,6,KCyen,tw47904340,宜蘭縣,
10,6,Bobocat,tw42571684,臺中市,
11,6,Forehead,tw37173355,新北市,
12,6,GHG_PeterWine,tw16132632,宜蘭縣,
13,6,nolan,tw24207778,宜蘭縣,
14,6,Ming,tw90996252,宜蘭縣,
15,6,James,tw51901001,宜蘭縣,
16,6,DKA_PIGRIGHT0,tw93433450,宜蘭縣,
