rank,points,username,player_id,region,deck_url
1,20,Jimmy,tw22147179,新竹縣,
2,12,CHENG,tw32525217,新竹縣,
3,10,Lshifu,tw74196817,桃園市,
4,10,Pien,tw54549171,桃園市,
5,8,FaGao,tw61617346,新竹縣,
6,8,Owen,tw13120137,新北市,
7,8,ChenMinQian,tw75551324,苗栗縣,
9,6,Jannun,tw79154733,桃園市,
10,6,享玩_帆帆帆帆,tw69069593,桃園市,
11,6,jacku,tw79434198,新竹市,
12,6,GHG_Andro,tw20198051,新北市,
13,6,James,tw34406887,新竹縣,
14,6,CL,tw03821579,新北市,
15,6,Jazpig,tw33433069,新竹縣,
16,6,Osnyani,tw97138451,新竹市,
17,4,BonBon,tw09269089,新竹市,
18,4,Acedia,tw88803840,新竹縣,
19,4,Luffy87512,tw96909333,桃園市,
20,4,DCG_01,tw24854365,新竹縣,
21,4,cheyu,tw24111275,新北市,
22,4,Kabuto,tw65235703,新竹市,
23,4,Pululu,tw11512917,新竹縣,
24,4,Lantern,tw34938257,新竹市,
25,4,TCGSTORE_崇崇,tw50055061,基隆市,
26,4,TheONE_LINYOUYI,tw08069127,新北市,
27,4,ClawsTY Martin,tw76086171,桃園市,
28,4,Shark,tw00282764,新竹市,
29,4,TCGSTORE_淳淞,tw85659399,苗栗縣,
30,4,Andy,tw19089077,苗栗縣,
31,4,Evan,tw91677599,新北市,
32,4,YUCHAN,tw04647150,苗栗縣,
