rank,points,username,player_id,region,deck_url
1,100,smallfiredragon,tw12360786,新北市,
2,75,AndrewChung,tw89973725,高雄市,
3,50,TheONE_KuoPinYi,tw96234784,臺北市,
4,50,JayWu100,tw85313935,新北市,
5,25,MJ,tw00570442,臺北市,
6,25,Evan,tw91677599,新北市,
7,25,Sean,tw65322738,臺北市,
8,25,Toby,tw29265523,新北市,
9,20,Ethan,tw85225105,桃園市,
10,20,andrew,tw00057543,新北市,/tw/deck-build/recipe/sGdVhW-zNkQvT-ekTmRe/
11,20,Leo,tw75475628,臺北市,/tw/deck-build/recipe/LdzQjj-hRhpsS-NTnbuo/
12,20,TCGSTORE_SHAOTONG,tw03103631,臺北市,
13,20,KB_QQQQQQ,tw42619471,新北市,
14,20,Taro,tw92318109,新北市,
15,20,Abner-N1ARK,tw71084142,高雄市,
16,20,Cui,tw55359182,新北市,
17,15,Iyiu,tw57615176,彰化縣,
18,15,TheONE_LINYOUYI,tw08069127,新北市,
19,15,WUJIAAN,tw94009574,彰化縣,
20,15,Dio,tw89855200,桃園市,
21,15,shark,tw27088222,桃園市,
22,15,Jun,tw98211582,桃園市,
23,15,PEIN,tw82187253,桃園市,
24,15,Willy,tw38952785,桃園市,
25,15,Kaya,tw37808612,新北市,
26,15,Rich,tw36653768,新北市,
27,15,ED,tw97066779,高雄市,
28,15,Henry,tw82259698,新竹市,
29,15,Cheng1117,tw91113369,彰化縣,
30,15,hank,tw63175813,桃園市,/tw/deck-build/recipe/RmCDzS-uGzKvU-DVUcmz/
31,15,Leon,tw49181959,新北市,
32,15,Wilson,tw66007671,新北市,
