rank,points,username,player_id,region,deck_url
1,20,Yang-Qi-Jun,tw93858918,新北市,
2,12,HAO-YU,tw65972314,新北市,
3,10,Kayson,tw81419386,新北市,
4,10,Viveka,tw21820105,桃園市,
5,8,TheONE_LINYOUYI,tw08069127,新北市,
6,8,Luffy87512,tw96909333,桃園市,
7,8,Ethan,tw85225105,桃園市,
8,8,SHEN,tw65991509,新北市,
9,6,LINCHENJUI,tw91466649,新北市,
10,6,Bevis,tw63041398,臺北市,
11,6,Aden,tw52162016,新北市,
12,6,LINCHEHSUAN,tw95954871,臺北市,
13,6,Legoboy,tw97627454,桃園市,
14,6,HaveFun-WeiWei,tw35839691,桃園市,
15,6,"KANG,TAI-YUAN",tw64460639,新北市,
16,6,CY,tw05715928,臺北市,
