record_type,round,page_index,table_no,player_no,player_id,player_name,player_score,opponent_id,opponent_name,opponent_score,rank,total_score,omw_pct,wo_score,avomw_pct
round_pairing,Round 1,2,636,1527,tw12769027,,,tw18142838,,,,,,,
round_pairing,Round 1,2,637,1549,tw000570442,,,tw15417650,,,,,,,
round_pairing,Round 1,2,637,717,tw15417650,,,tw000570442,,,,,,,
round_pairing,Round 1,2,638,727,tw27088222,,,tw38952785,,,,,,,
round_pairing,Round 1,2,638,744,tw38952785,,,tw27088222,,,,,,,
round_pairing,Round 1,2,639,1417,tw37556303,,,tw50896397,,,,,,,
round_pairing,Round 1,2,639,755,tw50896397,,,tw37556303,,,,,,,
round_pairing,Round 1,2,640,747,tw42891021,,,tw49181959,,,,,,,
round_pairing,Round 1,2,640,753,tw49181959,,,tw42891021,,,,,,,
round_pairing,Round 1,2,641,749,tw45505316,,,tw97066779,,,,,,,
round_pairing,Round 1,2,641,794,tw97066779,,,tw45505316,,,,,,,
round_pairing,Round 1,2,642,1817,tw77877011,,,tw55309622,,,,,,,
round_pairing,Round 1,2,642,758,tw55309622,,,tw77877011,,,,,,,
round_pairing,Round 1,2,643,721,tw18716707,,,tw75475628,,,,,,,
round_pairing,Round 1,2,643,772,tw75475628,,,tw18716707,,,,,,,
round_pairing,Round 1,2,644,716,tw14215402,,,tw32638091,,,,,,,
round_pairing,Round 1,2,644,733,tw32638091,,,tw14215402,,,,,,,
round_pairing,Round 1,2,645,1796,tw76708967,,,tw37435098,,,,,,,
round_pairing,Round 1,2,645,743,tw37435098,,,tw76708967,,,,,,,
round_pairing,Round 1,2,646,719,tw18059812,,,tw82259698,,,,,,,
round_pairing,Round 1,2,646,782,tw82259698,,,tw18059812,,,,,,,
round_pairing,Round 1,2,647,739,tw35633566,,,tw94009574,,,,,,,
round_pairing,Round 1,2,647,791,tw94009574,,,tw35633566,,,,,,,
round_pairing,Round 1,2,648,1232,tw09468385,,,tw81124094,,,,,,,
round_pairing,Round 1,2,648,777,tw81124094,,,tw09468385,,,,,,,
round_pairing,Round 1,2,649,708,tw06774867,,,tw70719415,,,,,,,
round_pairing,Round 1,2,649,768,tw70719415,,,tw06774867,,,,,,,
