rank,points,username,player_id,region,deck_url
1,20,Ian,tw17213475,臺中市,
2,12,海豹姐,tw01909140,彰化縣,
3,10,ChengChih,tw91826663,桃園市,
4,10,太陽,tw41563340,臺中市,
5,8,Will,tw95120042,臺中市,
6,8,XRY,tw93076075,臺中市,
7,8,007,tw19396392,臺中市,
8,8,PPT_Salmon,tw49159270,臺中市,
9,6,Iyiu,tw57615176,彰化縣,
10,6,Wen,tw08814300,新北市,
11,6,Zhaorui,tw88780324,臺中市,
12,6,Joshua,tw58176881,新竹市,
13,6,Yu,tw94518932,彰化縣,
14,6,Kouichi,tw98358576,彰化縣,
15,6,Sander,tw35184308,桃園市,
16,6,Bill,tw88559975,臺中市,
17,4,Aki,tw41073870,臺中市,
18,4,MorganTsai,tw68822994,新竹市,
19,4,Nick,tw55000893,臺中市,
20,4,Kevinkod,tw81021249,其它地區,
21,4,OP_Chai,tw52194649,臺中市,
22,4,AhShen,tw98688020,宜蘭縣,
23,4,LunarWolf,tw90872926,臺中市,
24,4,Krl,tw46143358,臺中市,
25,4,Tobby,tw08952821,新竹市,
26,4,大元,tw52615670,臺中市,
27,4,Alan,tw31006483,臺中市,
28,4,WUJIAAN,tw94009574,彰化縣,
29,4,WeiJay,tw94687968,彰化縣,
30,4,yuki,tw34557355,臺中市,
31,4,Ming,tw62569079,彰化縣,
32,4,風龍是我的手下敗將,tw43380150,臺中市,
