rank,points,username,player_id,region,deck_url
1,100,Brendan_Chen,tw71161900,臺北市,
2,75,Kenny,tw98425963,新竹縣,
3,50,Leroy,tw71688252,新北市,
4,50,JeremyPeng,tw73935880,苗栗縣,
5,25,Yule,tw64474352,高雄市,
6,25,AlanDuh,tw42163963,臺南市,
7,25,Hank,tw86591343,新竹市,
8,25,RockYao,tw68417234,臺北市,
9,20,BensonChang,tw82755386,新北市,
10,20,Ivan-Shark,tw03538932,臺南市,
11,20,KoU_Ray,tw77919530,臺中市,
12,20,Yen,tw22756831,新北市,
13,20,Tim,tw52228600,新竹市,
14,20,JEFF-DDDD,tw09068225,臺中市,
15,20,Owen,tw66972389,新北市,
16,20,Nemo,tw86826208,臺北市,
17,15,Tobby,tw08952821,新竹市,
18,15,Kouichi,tw98358576,彰化縣,
19,15,Lion,tw26801592,新竹縣,
20,15,Tung,tw21443160,新竹市,
21,15,Audi,tw50268688,新北市,
22,15,Haha,tw69416767,高雄市,
23,15,fan,tw61881775,彰化縣,
24,15,Haocho,tw19067728,臺南市,
25,15,Addison,tw38874392,臺中市,
26,15,KoU.Yiva,tw48375877,臺中市,
27,15,Klefki_Alice1023,tw69121729,高雄市,
28,15,Frank,tw12320398,桃園市,
29,15,Nash,tw35077402,新竹市,
30,15,YOYOCHIANG,tw12891908,臺北市,
31,15,Ander,tw66387397,臺北市,
32,15,WEI,tw05738879,新北市,
