rank,points,username,player_id,region,deck_url
1,20,Yue,tw61533794,臺北市,
2,12,Laolio,tw29536370,新北市,
3,10,Tangfen,tw02826499,新北市,
4,10,Austin,tw12786878,臺北市,
5,8,HiddenSquid,tw00387540,桃園市,
6,8,FanFan,tw76708967,新北市,
7,8,TG_Eugenia,tw72949917,臺北市,
8,8,南呱,tw32214798,雲林縣,
9,6,HornyBat,tw81886933,臺北市,
10,6,ScreamTail,tw42619935,臺南市,
11,6,Kaikaiwang,tw06034751,臺北市,
12,6,Shanks,tw28750216,新北市,
13,6,Allen,tw56391135,臺北市,
14,6,Mew_宥緯wade,tw81124094,新北市,
15,6,BO_YING,tw72333956,新北市,
16,6,TG_Oscar,tw79421519,新北市,
