rank,points,username,player_id,region,deck_url
1,20,TuHungHsiang,tw67479231,新北市,
2,12,Yue,tw61533794,臺北市,
3,10,mj730709,tw66591069,新北市,
4,10,TheONE_LINYOUYI,tw08069127,新北市,
5,8,Leon,tw49181959,新北市,
6,8,Hsinru,tw70529064,新北市,
7,8,Kinako,tw05040970,新北市,
8,8,GHG_PeterWine,tw16132632,宜蘭縣,
9,6,Warrior5454,tw54988993,桃園市,
10,6,^-^,tw16965198,臺北市,
11,6,SkySky,tw92250919,新北市,
12,6,Sou,tw21527773,新北市,
13,6,Diamond,tw57017359,臺北市,
14,6,Toby,tw02002019,新北市,
15,6,Krisinc,tw67306893,新北市,
16,6,LeiDog,tw35416653,臺北市,
