rank,points,username,player_id,region,deck_url
1,20,Henry,tw82259698,新竹市,
2,12,HSU,tw02991787,新竹縣,
3,10,Tenya,tw73911906,新竹縣,
4,10,HiddenSquid,tw00387540,桃園市,
5,8,Chuangbob,tw59842400,新竹市,
6,8,Afro0128,tw73975912,新竹市,
7,8,ClawsTY Martin,tw76086171,桃園市,
8,8,chen,tw48315800,新竹市,
9,6,Joshua,tw58176881,新竹市,
10,6,Asaku,tw33669058,新竹縣,
11,6,rober,tw88843922,桃園市,
12,6,Usagi,tw82233720,新竹縣,
13,6,kan,tw30732451,苗栗縣,
14,6,Fubuking,tw72342436,桃園市,
15,6,jacku,tw79434198,新竹市,
16,6,Bala,tw51108451,新竹市,
17,4,LAIYUYU,tw36652243,桃園市,
18,4,Pien,tw54549171,桃園市,
19,4,Aki,tw41073870,臺中市,
20,4,ksfantasy,tw33097520,新竹縣,
21,4,Hypno_Sammu,tw25488947,臺中市,
22,4,FaGao,tw61617346,新竹縣,
23,4,Break,tw95045687,新竹市,
24,4,Osnyani,tw97138451,新竹市,
25,4,Mareep,tw88521370,臺中市,
26,4,TopCard_Fu,tw77877383,新竹縣,
27,4,Sonic,tw89224755,新竹縣,
28,4,sushimi,tw88204185,新竹縣,
29,4,Andy,tw19089077,苗栗縣,
30,4,Sugar,tw70942920,臺北市,
31,4,Kenny,tw98425963,新竹縣,
32,4,Rich,tw36653768,新北市,
