rank,points,username,player_id,region,deck_url
1,20,will,tw79188375,高雄市,
2,12,Pinkey,tw04722294,高雄市,
3,10,Ian-N1ARK,tw01545475,高雄市,
4,10,Ken,tw82119121,臺南市,
5,8,B.N.C 林奕杰,tw75131206,高雄市,
6,8,jk,tw87621292,高雄市,
7,8,TiM-N1ARK,tw19291467,高雄市,
8,8,Sean-N1ARK,tw36617899,高雄市,
9,6,Sony,tw64598660,高雄市,
10,6,Ianyang,tw45485735,高雄市,
11,6,Ricky,tw42527004,臺南市,
12,6,LIN-YU-HSI,tw68956700,高雄市,
13,6,Rukai-Warriors,tw96137948,屏東縣,
14,6,Laurum,tw12039685,高雄市,
15,6,Wythe4018,tw14918376,高雄市,
16,6,JJIBB_uglyfish,tw69221566,高雄市,
