record_type,round,page_index,table_no,player_no,player_id,player_score,opponent_id,opponent_score,rank,total_score,omw_pct,wo_score,avomw_pct
round_pairing,Round 1,1,1,196,tw28566073,,tw59679568,,,,,,
round_pairing,Round 1,1,1,388,tw59679568,,tw28566073,,,,,,
round_pairing,Round 1,1,2,1013,tw30001370,,tw55332465,,,,,,
round_pairing,Round 1,1,2,365,tw55332465,,tw30001370,,,,,,
round_pairing,Round 1,1,3,131,tw20368538,,tw79180495,,,,,,
round_pairing,Round 1,1,3,521,tw79180495,,tw20368538,,,,,,
round_pairing,Round 1,1,4,1952,tw15456300,,tw40696414,,,,,,
round_pairing,Round 1,1,4,266,tw40696414,,tw15456300,,,,,,
round_pairing,Round 1,1,5,382,tw59054436,,tw75873560,,,,,,
round_pairing,Round 1,1,5,496,tw75873560,,tw59054436,,,,,,
round_pairing,Round 1,1,6,102,tw16965198,,tw42246097,,,,,,
round_pairing,Round 1,1,6,1548,tw42246097,,tw16965198,,,,,,
round_pairing,Round 1,1,7,1888,tw84386196,,tw41073870,,,,,,
round_pairing,Round 1,1,7,270,tw41073870,,tw84386196,,,,,,
round_pairing,Round 1,1,8,1656,tw87180928,,tw03775572,,,,,,
round_pairing,Round 1,1,8,30,tw03775572,,tw87180928,,,,,,
round_pairing,Round 1,1,9,277,tw41616492,,tw96922965,,,,,,
round_pairing,Round 1,1,9,625,tw96922965,,tw41616492,,,,,,
round_pairing,Round 1,1,10,1455,tw11247537,,tw28785208,,,,,,
round_pairing,Round 1,1,10,199,tw28785208,,tw11247537,,,,,,
round_pairing,Round 1,1,11,140,tw21820105,,tw88780324,,,,,,
round_pairing,Round 1,1,11,571,tw88780324,,tw21820105,,,,,,
round_pairing,Round 1,1,12,137,tw21601458,,tw97931731,,,,,,
round_pairing,Round 1,1,12,635,tw97931731,,tw21601458,,,,,,
round_pairing,Round 1,1,13,380,tw58781969,,tw66943412,,,,,,
round_pairing,Round 1,1,13,438,tw66943412,,tw58781969,,,,,,
round_pairing,Round 1,1,14,1165,tw10467123,,tw63323811,,,,,,
round_pairing,Round 1,1,14,417,tw63323811,,tw10467123,,,,,,
round_pairing,Round 1,1,15,562,tw87500073,,tw90875911,,,,,,
round_pairing,Round 1,1,15,586,tw90875911,,tw87500073,,,,,,
round_pairing,Round 1,1,16,494,tw75562825,,tw85147749,,,,,,
round_pairing,Round 1,1,16,557,tw85147749,,tw75562825,,,,,,
round_pairing,Round 1,1,17,435,tw66555509,,tw80138989,,,,,,
round_pairing,Round 1,1,17,532,tw80138989,,tw66555509,,,,,,
round_pairing,Round 1,1,18,1278,tw48908053,,tw61391431,,,,,,
round_pairing,Round 1,1,18,401,tw61391431,,tw48908053,,,,,,
round_pairing,Round 1,1,19,104,tw17108307,,tw67604361,,,,,,
round_pairing,Round 1,1,19,442,tw67604361,,tw17108307,,,,,,
round_pairing,Round 1,1,20,1759,tw05968456,,tw30572682,,,,,,
round_pairing,Round 1,1,20,1796,tw30572682,,tw05968456,,,,,,
round_pairing,Round 1,1,21,112,tw17830710,,tw29372557,,,,,,
round_pairing,Round 1,1,21,202,tw29372557,,tw17830710,,,,,,
round_pairing,Round 1,1,22,396,tw60567990,,tw05346170,,,,,,
round_pairing,Round 1,1,22,42,tw05346170,,tw60567990,,,,,,
round_pairing,Round 1,1,23,158,tw24111275,,tw57912649,,,,,,
round_pairing,Round 1,1,23,376,tw57912649,,tw24111275,,,,,,
round_pairing,Round 1,1,24,155,tw23730146,,tw95395898,,,,,,
round_pairing,Round 1,1,24,611,tw95395898,,tw23730146,,,,,,
round_pairing,Round 1,1,25,477,tw72776789,,tw76729874,,,,,,
round_pairing,Round 1,1,25,503,tw76729874,,tw72776789,,,,,,
round_pairing,Round 1,2,26,1381,tw13624938,,tw53028908,,,,,,
round_pairing,Round 1,2,26,351,tw53028908,,tw13624938,,,,,,
round_pairing,Round 1,2,27,173,tw25870422,,tw71161066,,,,,,
round_pairing,Round 1,2,27,466,tw71161066,,tw25870422,,,,,,
round_pairing,Round 1,2,28,464,tw70892972,,tw73690046,,,,,,
round_pairing,Round 1,2,28,483,tw73690046,,tw70892972,,,,,,
round_pairing,Round 1,2,29,297,tw45324854,,tw48512422,,,,,,
round_pairing,Round 1,2,29,319,tw48512422,,tw45324854,,,,,,
round_pairing,Round 1,2,30,1657,tw12341574,,tw40470404,,,,,,
round_pairing,Round 1,2,30,264,tw40470404,,tw12341574,,,,,,
round_pairing,Round 1,2,31,1102,tw63508480,,tw13487252,,,,,,
round_pairing,Round 1,2,31,77,tw13487252,,tw63508480,,,,,,
round_pairing,Round 1,2,32,106,tw17334001,,tw17729963,,,,,,
round_pairing,Round 1,2,32,109,tw17729963,,tw17334001,,,,,,
round_pairing,Round 1,2,33,459,tw69925275,,tw08876514,,,,,,
round_pairing,Round 1,2,33,54,tw08876514,,tw69925275,,,,,,
round_pairing,Round 1,2,34,43,tw05399034,,tw73730122,,,,,,
round_pairing,Round 1,2,34,484,tw73730122,,tw05399034,,,,,,
round_pairing,Round 1,2,35,399,tw61053905,,tw11612248,,,,,,
round_pairing,Round 1,2,35,66,tw11612248,,tw61053905,,,,,,
round_pairing,Round 1,2,36,178,tw26528058,,tw09946774,,,,,,
round_pairing,Round 1,2,36,58,tw09946774,,tw26528058,,,,,,
round_pairing,Round 1,2,37,320,tw48596346,,tw58835877,,,,,,
round_pairing,Round 1,2,37,381,tw58835877,,tw48596346,,,,,,
round_pairing,Round 1,2,38,147,tw22807189,,tw24742864,,,,,,
round_pairing,Round 1,2,38,164,tw24742864,,tw22807189,,,,,,
round_pairing,Round 1,2,39,12,tw01014532,,tw84406921,,,,,,
round_pairing,Round 1,2,39,553,tw84406921,,tw01014532,,,,,,
round_pairing,Round 1,2,40,312,tw47218279,,tw57095850,,,,,,
round_pairing,Round 1,2,40,374,tw57095850,,tw47218279,,,,,,
round_pairing,Round 1,2,41,1741,tw00531440,,tw42912360,,,,,,
round_pairing,Round 1,2,41,285,tw42912360,,tw00531440,,,,,,
round_pairing,Round 1,2,42,1336,tw98857642,,tw78144908,,,,,,
round_pairing,Round 1,2,42,513,tw78144908,,tw98857642,,,,,,
round_pairing,Round 1,2,43,1570,tw50858481,,tw34396906,,,,,,
round_pairing,Round 1,2,43,222,tw34396906,,tw50858481,,,,,,
round_pairing,Round 1,2,44,314,tw47674399,,tw95045687,,,,,,
round_pairing,Round 1,2,44,608,tw95045687,,tw47674399,,,,,,
round_pairing,Round 1,2,45,402,tw61443214,,tw73911906,,,,,,
round_pairing,Round 1,2,45,485,tw73911906,,tw61443214,,,,,,
round_pairing,Round 1,2,46,197,tw28672728,,tw47815793,,,,,,
round_pairing,Round 1,2,46,315,tw47815793,,tw28672728,,,,,,
round_pairing,Round 1,2,47,233,tw35839691,,tw93947447,,,,,,
round_pairing,Round 1,2,47,603,tw93947447,,tw35839691,,,,,,
round_pairing,Round 1,2,48,105,tw17203659,,tw37173355,,,,,,
round_pairing,Round 1,2,48,240,tw37173355,,tw17203659,,,,,,
round_pairing,Round 1,2,49,261,tw40194303,,tw40222557,,,,,,
round_pairing,Round 1,2,49,262,tw40222557,,tw40194303,,,,,,
round_pairing,Round 1,2,50,121,tw18906406,,tw44344603,,,,,,
round_pairing,Round 1,2,50,291,tw44344603,,tw18906406,,,,,,
round_pairing,Round 1,3,51,1266,tw93433450,,tw49959381,,,,,,
round_pairing,Round 1,3,51,332,tw49959381,,tw93433450,,,,,,
round_pairing,Round 1,3,52,1133,tw45233917,,tw46798799,,,,,,
round_pairing,Round 1,3,52,311,tw46798799,,tw45233917,,,,,,
round_pairing,Round 1,3,53,1211,tw42571684,,tw49698910,,,,,,
round_pairing,Round 1,3,53,329,tw49698910,,tw42571684,,,,,,
