record_type,round,page_index,table_no,player_no,player_id,player_name,player_score,opponent_id,opponent_name,opponent_score,rank,total_score,omw_pct,wo_score,avomw_pct
round_pairing,Round 1,1,732,902,tw03506312,,,tw34051393,,,,,,,
round_pairing,Round 1,1,710,903,tw03623052,,,tw98185930,,,,,,,
round_pairing,Round 1,1,719,904,tw07841936,,,tw40727736,,,,,,,
round_pairing,Round 1,1,720,905,tw09202616,,,tw75988874,,,,,,,
round_pairing,Round 1,1,755,906,tw09658991,,,tw39371632,,,,,,,
round_pairing,Round 1,1,748,907,tw10834493,,,tw63677106,,,,,,,
round_pairing,Round 1,1,744,908,tw11297944,,,tw62455737,,,,,,,
round_pairing,Round 1,1,751,909,tw11586070,,,tw44561682,,,,,,,
round_pairing,Round 1,1,743,910,tw11909546,,,tw78007123,,,,,,,
round_pairing,Round 1,1,730,911,tw13023402,,,tw63007000,,,,,,,
round_pairing,Round 1,1,718,912,tw13886746,,,tw21813037,,,,,,,
round_pairing,Round 1,1,711,913,tw13995413,,,tw99406126,,,,,,,
round_pairing,Round 1,1,752,915,tw15384084,,,tw25007020,,,,,,,
round_pairing,Round 1,1,735,916,tw18941589,,,tw48538169,,,,,,,
round_pairing,Round 1,1,740,917,tw19963605,,,tw37208259,,,,,,,
round_pairing,Round 1,1,736,918,tw20997286,,,tw56703325,,,,,,,
round_pairing,Round 1,1,741,919,tw21171738,,,tw95273659,,,,,,,
round_pairing,Round 1,1,709,920,tw21246501,,,tw29895534,,,,,,,
round_pairing,Round 1,1,718,921,tw21813037,,,tw13886746,,,,,,,
round_pairing,Round 1,1,739,923,tw22074330,,,tw64474352,,,,,,,
round_pairing,Round 1,1,713,924,tw22170618,,,tw43232705,,,,,,,
round_pairing,Round 1,1,757,925,tw22756831,,,tw49350731,,,,,,,
round_pairing,Round 1,1,752,926,tw25007020,,,tw15384084,,,,,,,
round_pairing,Round 1,1,750,928,tw26592131,,,tw86544614,,,,,,,
round_pairing,Round 1,1,758,929,tw28790676,,,,,,,,,,
round_pairing,Round 1,1,709,930,tw29895534,,,tw21246501,,,,,,,
round_pairing,Round 1,1,702,931,tw33000082,,,tw13010294,,,,,,,
round_pairing,Round 1,1,721,933,tw34333168,,,tw74390718,,,,,,,
round_pairing,Round 1,1,745,934,tw36652243,,,tw64018787,,,,,,,
round_pairing,Round 1,1,740,935,tw37208259,,,tw19963605,,,,,,,
round_pairing,Round 1,1,715,936,tw37740270,,,tw42397162,,,,,,,
round_pairing,Round 1,1,755,937,tw39371632,,,tw09658991,,,,,,,
round_pairing,Round 1,1,731,938,tw40194260,,,tw39719937,,,,,,,
round_pairing,Round 1,1,724,939,tw40510008,,,tw67458411,,,,,,,
round_pairing,Round 1,1,719,940,tw40727736,,,tw07841936,,,,,,,
round_pairing,Round 1,1,716,941,tw41998451,,,tw50268688,,,,,,,
round_pairing,Round 1,1,742,942,tw42484676,,,tw59827090,,,,,,,
round_pairing,Round 1,1,713,943,tw43232705,,,tw22170618,,,,,,,
round_pairing,Round 1,1,751,944,tw44561682,,,tw11586070,,,,,,,
round_pairing,Round 1,1,706,946,tw46340529,,,tw63041398,,,,,,,
round_pairing,Round 1,1,722,947,tw47765933,,,tw67765608,,,,,,,
round_pairing,Round 1,1,735,948,tw48538169,,,tw18941589,,,,,,,
round_pairing,Round 1,1,757,949,tw49350731,,,tw22756831,,,,,,,
round_pairing,Round 1,1,716,950,tw50268688,,,tw41998451,,,,,,,
round_pairing,Round 1,1,707,951,tw52539551,,,tw90133973,,,,,,,
round_pairing,Round 1,1,736,952,tw56703325,,,tw20997286,,,,,,,
round_pairing,Round 1,1,742,953,tw59827090,,,tw42484676,,,,,,,
round_pairing,Round 1,1,727,955,tw61881775,,,tw67514618,,,,,,,
round_pairing,Round 1,1,744,956,tw62455737,,,tw11297944,,,,,,,
round_pairing,Round 1,1,728,957,tw62456794,,,tw76445156,,,,,,,
round_pairing,Round 1,2,730,958,tw63007000,,,tw13023402,,,,,,,
round_pairing,Round 1,2,706,959,tw63041398,,,tw46340529,,,,,,,
round_pairing,Round 1,2,745,960,tw64018787,,,tw36652243,,,,,,,
round_pairing,Round 1,2,739,961,tw64474352,,,tw22074330,,,,,,,
round_pairing,Round 1,2,749,962,tw65932690,,,tw82755386,,,,,,,
round_pairing,Round 1,2,703,963,tw66972389,,,tw14448913,,,,,,,
round_pairing,Round 1,2,756,964,tw67113152,,,tw90174716,,,,,,,
round_pairing,Round 1,2,717,965,tw67241213,,,tw74548737,,,,,,,
round_pairing,Round 1,2,724,966,tw67458411,,,tw40510008,,,,,,,
round_pairing,Round 1,2,727,967,tw67514618,,,tw61881775,,,,,,,
round_pairing,Round 1,2,712,968,tw68355833,,,tw79354990,,,,,,,
round_pairing,Round 1,2,729,969,tw69121729,,,tw06034751,,,,,,,
round_pairing,Round 1,2,738,970,tw69197193,,,tw83709077,,,,,,,
round_pairing,Round 1,2,704,971,tw71161900,,,tw10112482,,,,,,,
round_pairing,Round 1,2,733,972,tw71381282,,,tw48375877,,,,,,,
round_pairing,Round 1,2,723,973,tw71688252,,,tw77684021,,,,,,,
round_pairing,Round 1,2,717,975,tw74548737,,,tw67241213,,,,,,,
round_pairing,Round 1,2,728,976,tw76445156,,,tw62456794,,,,,,,
round_pairing,Round 1,2,714,977,tw77088088,,,tw12320398,,,,,,,
round_pairing,Round 1,2,723,978,tw77684021,,,tw71688252,,,,,,,
round_pairing,Round 1,2,746,979,tw77892771,,,tw90786092,,,,,,,
round_pairing,Round 1,2,743,980,tw78007123,,,tw11909546,,,,,,,
round_pairing,Round 1,2,708,981,tw78412380,,,tw86826208,,,,,,,
round_pairing,Round 1,2,705,982,tw78758706,,,tw09395817,,,,,,,
round_pairing,Round 1,2,712,983,tw79354990,,,tw68355833,,,,,,,
round_pairing,Round 1,2,738,984,tw83709077,,,tw69197193,,,,,,,
round_pairing,Round 1,2,753,985,tw86398471,,,tw46877625,,,,,,,
round_pairing,Round 1,2,750,986,tw86544614,,,tw26592131,,,,,,,
round_pairing,Round 1,2,747,987,tw86591343,,,tw13046045,,,,,,,
round_pairing,Round 1,2,708,988,tw86826208,,,tw78412380,,,,,,,
round_pairing,Round 1,2,737,989,tw89645111,,,tw98478191,,,,,,,
round_pairing,Round 1,2,707,990,tw90133973,,,tw52539551,,,,,,,
round_pairing,Round 1,2,734,991,tw90431417,,,tw73804535,,,,,,,
round_pairing,Round 1,2,746,992,tw90786092,,,tw77892771,,,,,,,
round_pairing,Round 1,2,726,994,tw95074743,,,tw97869090,,,,,,,
round_pairing,Round 1,2,741,995,tw95273659,,,tw21171738,,,,,,,
round_pairing,Round 1,2,726,996,tw97869090,,,tw95074743,,,,,,,
round_pairing,Round 1,2,710,997,tw98185930,,,tw03623052,,,,,,,
round_pairing,Round 1,2,737,998,tw98478191,,,tw89645111,,,,,,,
round_pairing,Round 1,2,711,999,tw99406126,,,tw13995413,,,,,,,
round_pairing,Round 1,2,705,1027,tw09395817,,,tw78758706,,,,,,,
round_pairing,Round 1,2,703,1056,tw14448913,,,tw66972389,,,,,,,
round_pairing,Round 1,2,704,1096,tw10112482,,,tw71161900,,,,,,,
round_pairing,Round 1,2,715,1120,tw42397162,,,tw37740270,,,,,,,
round_pairing,Round 1,2,747,1343,tw13046045,,,tw86591343,,,,,,,
round_pairing,Round 1,2,756,1356,tw90174716,,,tw67113152,,,,,,,
round_pairing,Round 1,2,754,1383,tw78560483,,,tw78207749,,,,,,,
round_pairing,Round 1,2,753,1393,tw46877625,,,tw86398471,,,,,,,
