rank,points,username,player_id,region,deck_url
1,100,TCGSTORE_Mike,tw55774266,桃園市,
2,75,TCGSTORE_SHAOTONG,tw03103631,臺北市,
3,50,benjamin,tw40670915,桃園市,
4,50,Cheng1117,tw91113369,彰化縣,
5,25,TheONE_LINYOUYI,tw08069127,新北市,
6,25,Sun,tw02578849,臺北市,/tw/deck-build/recipe/ejkoHA-ndzwaf-NymPyI/
7,25,B.N.C 林宇廷,tw37556303,高雄市,
8,25,Henry,tw82259698,新竹市,
9,20,Wade010926,tw42986392,臺北市,
10,20,PLAY,tw33344901,彰化縣,
11,20,AndrewChung,tw89973725,高雄市,
12,20,Evan,tw91677599,新北市,
13,20,Mew_宥緯wade,tw81124094,新北市,
14,20,CHANGCHIAHAO,tw46558789,新北市,/tw/deck-build/recipe/DLvbqz-NntDAt-XRJGoK/
15,20,kevin,tw48711959,彰化縣,/tw/deck-build/recipe/yCaoYi-pPnEUD-ildEcC/
16,20,DE-WEN,tw61835075,高雄市,
