rank,points,username,player_id,region,deck_url
1,20,TheONE_LINYOUYI,tw08069127,新北市,
2,12,daGG,tw21954605,臺北市,
3,10,Jason,tw10410998,新北市,
4,10,HungYaoWang,tw71029745,臺北市,
5,8,Rich,tw36653768,新北市,
6,8,Benjamin,tw99268898,臺北市,
7,8,Fin,tw88792767,新北市,
8,8,rio1022,tw68088789,高雄市,
9,6,Mareep,tw88521370,臺中市,
10,6,Luffy87512,tw96909333,桃園市,
11,6,Louis,tw13785127,新北市,
12,6,Snake,tw01024875,新北市,
13,6,鋼鐵朱粉,tw14535364,新北市,
14,6,Moon,tw97931731,臺北市,
15,6,Leon,tw27395288,新北市,
16,6,Justin,tw16280450,臺北市,
17,4,Yang-Qi-Jun,tw93858918,新北市,
18,4,Joseph,tw45957987,新北市,
19,4,Macliang,tw02539949,臺北市,
20,4,Hsinru,tw70529064,新北市,
21,4,Aragari,tw92466220,新竹縣,
22,4,Chiara,tw44446459,新北市,
23,4,Wade010926,tw42986392,臺北市,
24,4,Chenyikai,tw40017812,新北市,
25,4,kang,tw92544749,新北市,
26,4,Tommy,tw51647865,新北市,
27,4,Rueisian,tw28186951,新北市,
28,4,Goodmouse,tw04959593,新北市,
29,4,Caesarsauce,tw73498341,新北市,
30,4,TheONE_KuoPinYi,tw96234784,臺北市,
31,4,ChangHsinChen,tw60920600,新北市,
32,4,RODY,tw22214011,臺北市,
