rank,points,username,player_id,region,deck_url
1,20,Yeh,tw56972035,新竹市,
2,12,Joshua,tw58176881,新竹市,
3,10,享玩_帆帆帆帆,tw69069593,桃園市,
4,10,Jack,tw54430001,新竹市,
5,8,Legoboy,tw97627454,桃園市,
6,8,TopCard_Fu,tw77877383,新竹縣,
7,8,JLWeng,tw44342704,新竹縣,
8,8,TC_Brian,tw08055670,新竹縣,
9,6,Hsun,tw62459529,臺南市,
10,6,GMS-FangKaiyo,tw24854365,新竹縣,
11,6,RichardWu,tw61583819,新北市,
12,6,TopCard_HAO,tw91720502,新竹市,
13,6,Pululu,tw11512917,新竹縣,
14,6,Hsiang,tw49877892,桃園市,
15,6,Tim,tw85233211,臺北市,
16,6,WunHao,tw89644458,臺北市,
17,4,SnorLAX,tw08457807,苗栗縣,
18,4,HAO-YU,tw65972314,新北市,
19,4,GaffeyZeng,tw79066133,新竹縣,
20,4,JustinChang0912,tw06953175,新竹縣,
21,4,ksfantasy,tw33097520,新竹縣,
22,4,Break,tw95045687,新竹市,
23,4,OuNijiang,tw88418491,新竹縣,
24,4,CWTsai,tw17830710,桃園市,
25,4,Kenny,tw98425963,新竹縣,
26,4,real1027,tw99213849,新竹縣,
27,4,Devil,tw37587087,新竹市,
28,4,Tony9453,tw04849646,臺中市,
29,4,RayHo,tw54738757,新竹市,
30,4,JoeyChang0521,tw89882541,新竹縣,
31,4,POCHUN.CHEN,tw94001188,新竹縣,
32,4,DC_CHANG,tw48596346,桃園市,
