rank,points,username,player_id,region,deck_url
1,20,Tim,tw89368672,新北市,
2,12,Blac3Ace,tw52806758,臺北市,
3,10,YaoTing,tw93947447,新北市,
4,10,ericyang,tw96387195,新北市,
5,8,TCGSTORE_阿元,tw79280986,臺北市,
6,8,Moon,tw97931731,臺北市,
7,8,rabbit,tw24203947,新北市,
8,8,FrankChu,tw48512422,新北市,
9,6,henrik1119,tw09082546,新北市,
10,6,mj730709,tw66591069,新北市,
11,6,Nine-tailedfox,tw87180928,桃園市,
12,6,JEFF,tw33544977,新北市,
13,6,kang,tw92544749,新北市,
14,6,Alan,tw18197442,臺北市,
15,6,ZIYI777,tw69848864,新北市,
16,6,Brendan_Chen,tw71161900,臺北市,
17,4,YuAn._84,tw12769027,新北市,
18,4,NewFlavors,tw17203659,臺北市,
19,4,barrywang,tw60180669,臺北市,
20,4,John486Rem,tw33811608,新北市,
21,4,kojiloo,tw38671111,新北市,
22,4,Yuh,tw11642031,高雄市,
23,4,Shando,tw68242169,新北市,
24,4,大雞是一隻雞,tw51677666,新北市,
25,4,Halka,tw08769154,臺北市,
26,4,poweilee,tw52951111,臺北市,
27,4,YU,tw09638604,新北市,
28,4,Ting,tw07927124,新北市,
29,4,Kung006,tw21922568,臺北市,
30,4,LUGIA,tw38080173,高雄市,
31,4,CHANGCHIAHAO,tw46558789,新北市,
32,4,AllenC,tw84386196,新北市,
