rank,points,username,player_id,region,deck_url
1,20,will,tw79188375,高雄市,
2,12,瘋桌遊楠梓店正老闆徵闆娘！,tw02559687,高雄市,
3,10,永遠喜歡愛莉西亞,tw15176221,臺南市,
4,10,StrongOrange,tw97885633,臺南市,
5,8,Superpig,tw95668915,高雄市,
6,8,Dabethan,tw63016626,高雄市,
7,8,Dream-N1ARK,tw54462001,高雄市,
8,8,薄荷Echo,tw55332465,高雄市,
9,6,Ren,tw74811997,高雄市,
10,6,Chen-hsiao-yang,tw68355833,臺南市,
11,6,罐頭,tw45806310,高雄市,
12,6,Yang,tw60273793,高雄市,
13,6,Hank,tw33274690,臺北市,
14,6,K.K_Yuhung,tw54152249,高雄市,
15,6,Yuh,tw11642031,高雄市,
16,6,Sean-N1ARK,tw36617899,高雄市,
17,4,Henry,tw35659148,雲林縣,
18,4,vegetable,tw15743285,高雄市,
19,4,ED,tw97066779,高雄市,
20,4,Rukai-Warriors,tw96137948,屏東縣,
21,4,TCGSTORE_MASSA,tw85147749,臺北市,
22,4,Eason,tw04870134,高雄市,
23,4,Danyang,tw03132048,高雄市,
24,4,Jyun,tw35995465,高雄市,
25,4,Adan,tw93829445,高雄市,
26,4,Klefki_Alice1023,tw69121729,高雄市,
27,4,Z,tw14181070,高雄市,
28,4,Bosh,tw92114726,高雄市,
29,4,KK,tw69659737,高雄市,
30,4,Justin-N1ARK,tw56036096,高雄市,
31,4,Terry,tw32020032,高雄市,
32,4,lkkder,tw06441088,高雄市,
