rank,points,username,player_id,region,deck_url
1,100,BossTang,tw48793078,基隆市,
3,50,Mapu0215,tw81121676,臺中市,/tw/deck-build/recipe/Mpknzs-sXmjwJ-pLyTtX/
4,50,GMS-YO,tw93955100,臺南市,
5,25,XRY,tw93076075,臺中市,
6,25,will,tw79188375,高雄市,
7,25,ChenMinQian,tw75551324,苗栗縣,
8,25,Wei,tw53723254,臺中市,
9,20,Danny,tw78866457,新北市,
10,20,Warrior5454,tw54988993,桃園市,/tw/deck-build/recipe/iFwwow-esvQKd-MSJjae/
11,20,CHENBOXUN,tw39494537,臺中市,
12,20,Akashi,tw23764220,彰化縣,
13,20,GZT-00,tw65824965,臺中市,/tw/deck-build/recipe/COxjpw-kBvJAn-mYUOxP/
14,20,Will,tw95120042,臺中市,
15,20,XJH_Fengshen,tw15026318,新北市,/tw/deck-build/recipe/TNwgih-OdyzAs-SuZkBy/
16,20,Yeen,tw73048413,臺南市,
17,15,ChunLun,tw82981600,新北市,
18,15,13,tw39174853,臺南市,
19,15,OTK_Miso,tw19804425,新北市,/tw/deck-build/recipe/YMHjgb-pEsCNm-wJfjEB/
20,15,GMS_Mew,tw67759215,新北市,
21,15,Shai,tw23412539,嘉義市,
22,15,瘋桌遊楠梓店正老闆徵闆娘！,tw02559687,高雄市,
23,15,Nick,tw55000893,臺中市,/tw/deck-build/recipe/qDLtjb-JDYwsC-KPzDzr/
24,15,Rukai-Warriors,tw96137948,屏東縣,/tw/deck-build/recipe/SpJCrv-pojwgB-VRsPVR/
25,15,Jack,tw54430001,新竹市,
26,15,Towasamalike,tw23205294,臺南市,
27,15,TCGSTORE_MASSA,tw85147749,臺北市,
28,15,NewFlavors,tw17203659,臺北市,
29,15,ScreamTail,tw42619935,臺南市,
30,15,Jonathan,tw24928885,臺北市,
31,15,lkkder,tw06441088,高雄市,
32,15,LCC..,tw32722359,雲林縣,/tw/deck-build/recipe/AcrHhJ-eRpaUq-qyneQN/
33,10,cxy,tw84592025,桃園市,
34,10,Wowowo,tw06400208,臺中市,/tw/deck-build/recipe/tuDcVV-ohzxSX-WvjDFw/
35,10,Gai,tw89609352,桃園市,
36,10,Rayop,tw12619457,彰化縣,/tw/deck-build/recipe/VoDTUY-RaSNAF-EILZmG/
37,10,Keng,tw86152305,臺中市,
38,10,rio1022,tw68088789,高雄市,/tw/deck-build/recipe/djsiod-NAwLnm-GTsiMl/
39,10,Fi_ZhengYang,tw11047177,高雄市,
40,10,Ah Mai,tw72951680,臺中市,
41,10,Cookie,tw42912360,高雄市,
42,10,HeMay,tw50956493,新竹縣,
43,10,KJ,tw82289672,桃園市,/tw/deck-build/recipe/ggUIBT-VFYwPc-wuXNRn/
44,10,KT,tw64220350,嘉義市,/tw/deck-build/recipe/zdLVUp-NPWUqN-OTZPsi/
45,10,Bruce,tw32869182,臺北市,
46,10,Bob,tw13624938,彰化縣,
47,10,YO,tw57196950,新竹市,
48,10,GHG_Andro,tw20198051,新北市,
49,10,MIAWO,tw90694553,嘉義市,
50,10,CH,tw44874553,高雄市,
51,10,HuangPoTsun,tw35735135,臺中市,
52,10,Yuan,tw27453523,臺中市,
53,10,Joe,tw37765295,臺北市,
54,10,HornyBat,tw81886933,臺北市,
55,10,AndyChou,tw44127879,新北市,
56,10,AC,tw90806836,高雄市,
57,10,Galahad,tw92179905,新北市,/tw/deck-build/recipe/EuEscN-HHnqIj-gRQhFo/
58,10,ChienTingYu,tw93020902,新北市,
59,10,Ken,tw96097470,苗栗縣,
60,10,XJH_HANGO,tw67199394,新北市,
61,10,"Chang,I-Hsiang",tw89343025,臺中市,/tw/deck-build/recipe/kmfEqP-RlvOSW-cMxZTl/
62,10,Tenya,tw73911906,新竹縣,/tw/deck-build/recipe/sdNWwv-PNovAl-uoYPGM/
63,10,Bulu8827,tw95198982,臺中市,
64,10,moon0616,tw34108269,嘉義縣,
65,8,Jyun,tw35995465,高雄市,
66,8,Cloud,tw55484477,高雄市,
67,8,Bread,tw65936819,新北市,/tw/deck-build/recipe/VCvMap-ZfETSk-EadWdM/
68,8,ClawsTY Martin,tw76086171,桃園市,
69,8,Danyang,tw03132048,高雄市,/tw/deck-build/recipe/jJWhnd-hNWQiQ-eLZmqg/
70,8,Blac3Ace,tw52806758,臺北市,/tw/deck-build/recipe/vHXOEh-KWtaOi-PCeVne/
71,8,FF,tw76568846,新北市,
72,8,Rohto,tw02018335,臺南市,/tw/deck-build/recipe/ZBjJuu-zebdAj-WaOzJE/
73,8,Dibo,tw90485112,臺北市,
74,8,James,tw87713934,臺北市,
75,8,Tym,tw83751916,新北市,
76,8,OP_Chai,tw52194649,臺中市,
77,8,Jerry,tw45498080,臺中市,
78,8,Johnny,tw50567676,苗栗縣,/tw/deck-build/recipe/OSbaAf-BNlBXg-dAlfjq/
79,8,Charlie,tw64567116,臺中市,
80,8,TCGSTORE_HoSu,tw14327392,臺中市,
81,8,Qttsix&hennie_IC,tw10136616,臺中市,
82,8,Eric1207,tw57984326,臺北市,
83,8,xLamit,tw36677953,臺南市,
84,8,Kai,tw90337288,新竹縣,
85,8,Yuh,tw11642031,高雄市,
86,8,哈力栗,tw44344603,高雄市,
87,8,Mugen,tw66907796,臺南市,
88,8,Modred1104,tw44821842,臺中市,/tw/deck-build/recipe/WfRkYL-ZgyqOV-aXACfP/
89,8,J,tw27758570,臺北市,
90,8,Jiago,tw35707148,臺南市,
91,8,never3317,tw93786012,彰化縣,/tw/deck-build/recipe/Ueddfm-veoeAN-PTfhgS/
92,8,GMS_PaulWu,tw23228412,宜蘭縣,
93,8,ZhangXuan,tw99229780,南投縣,/tw/deck-build/recipe/uZOqot-YttVGD-hRQJYu/
94,8,ShaoWeiChang,tw44744070,桃園市,
95,8,JOKE,tw68209178,新北市,/tw/deck-build/recipe/vcXtxW-jLFnhh-AyXvuY/
96,8,CTSJason,tw29023076,嘉義市,/tw/deck-build/recipe/aGaiLH-lwXUzE-uLomqg/
97,8,Mike,tw94370058,臺中市,
98,8,DCG_M1DSKY,tw16152234,新竹市,
99,8,Zhiyunwu,tw09751736,嘉義市,
100,8,hyc,tw41286139,新竹市,/tw/deck-build/recipe/xNnkef-lplfDj-xQHGuM/
101,8,Bill,tw88559975,臺中市,/tw/deck-build/recipe/PFWQTI-ObKDSW-QwPEJN/
102,8,Allen,tw73187416,臺中市,
103,8,海豹姐,tw01909140,彰化縣,
104,8,Jack,tw74568091,新北市,
105,8,阿童,tw39185310,臺北市,
106,8,Wataru16,tw86827817,臺中市,
107,8,Moon-Shadow,tw99271821,雲林縣,
108,8,Yun,tw13224458,臺中市,/tw/deck-build/recipe/dgYJCD-gusjvJ-uVcqYA/
109,8,BST_ROB,tw73762496,臺中市,
110,8,LINCHEHSUAN,tw95954871,臺北市,
111,8,poweilee,tw52951111,臺北市,
112,8,jacku,tw79434198,新竹市,/tw/deck-build/recipe/itfKEd-fzhznA-tGUpZa/
113,8,MeowSheng,tw99174620,臺中市,/tw/deck-build/recipe/eRnEjt-DvPsif-HPpXhp/
114,8,Jazpig,tw33433069,新竹縣,
115,8,Wen,tw08814300,新北市,/tw/deck-build/recipe/NPMnio-LGGykl-ReCzVj/
116,8,Ino,tw57907773,臺中市,/tw/deck-build/recipe/kGThFD-AjHDwN-XawCCH/
117,8,Jeff,tw12134806,臺中市,
118,8,Aron,tw31553605,臺中市,
119,8,GHG-MXK,tw51046647,新北市,
120,8,曉致,tw63508480,高雄市,
121,8,mj730709,tw66591069,新北市,
122,8,hhh17653,tw69804633,宜蘭縣,
123,8,Break,tw95045687,新竹市,
124,8,Sugar,tw70942920,臺北市,
125,8,000,tw36904012,新北市,/tw/deck-build/recipe/TVECHe-qJmcpS-YjvPXo/
126,8,陽月爸,tw32240000,新北市,
127,8,Ray,tw73106123,高雄市,
128,8,Mr.Gengar,tw05925639,臺中市,
129,6,Nick,tw02054385,臺中市,/tw/deck-build/recipe/vzlOBI-nTdCvr-KzXTIL/
130,6,Lionel,tw45289252,新北市,
131,6,Pinkey,tw04722294,高雄市,
132,6,a1phaki,tw70378594,桃園市,
133,6,AdamChia,tw87510571,高雄市,/tw/deck-build/recipe/noCTTx-BQZQVh-CrmNgb/
134,6,Big3_Samson,tw74371443,臺中市,
135,6,Ricky,tw42527004,臺南市,
136,6,ddjoker,tw15701546,臺南市,
137,6,Miltank,tw46795660,臺北市,
138,6,YUN,tw60256639,臺中市,
139,6,Ferdielee,tw99801052,臺中市,
140,6,Osnyani,tw97138451,新竹市,
141,6,shawn,tw42309306,臺中市,
142,6,Pien,tw54549171,桃園市,/tw/deck-build/recipe/Yhktyz-hfVFEh-CBmbWX/
143,6,house,tw75352342,新北市,/tw/deck-build/recipe/EAyfHe-WxrYEM-fItJpQ/
144,6,hihilifestyle,tw67604361,新北市,
145,6,GHG_Louis,tw12796514,新北市,
146,6,vincent,tw16728082,新北市,/tw/deck-build/recipe/DemrNm-FelhDp-gqZGJi/
147,6,sasashark,tw19522331,新北市,/tw/deck-build/recipe/yPQQjo-ZFtuSE-xrJapT/
148,6,HungYaoWang,tw71029745,臺北市,
149,6,TuTuLin,tw69425578,高雄市,
150,6,ninja._.wa,tw89548879,南投縣,
151,6,FrankChu,tw48512422,新北市,
152,6,旺達,tw34660312,雲林縣,/tw/deck-build/recipe/AaXrCz-GMSsGl-JYiFUU/
153,6,Shuoger,tw71328379,新北市,
154,6,robertliao,tw91997638,新北市,
155,6,SheuCheWei,tw36138720,臺北市,
156,6,狡猾的路人甲,tw88860465,臺南市,
157,6,ms0304711,tw68763677,臺北市,
158,6,82heineken,tw97854006,雲林縣,/tw/deck-build/recipe/zZuCLo-UDnvqa-KfmcKO/
159,6,SnowRabbit,tw00251299,桃園市,
160,6,Stanley,tw88847292,新北市,
161,6,^-^,tw16965198,臺北市,
162,6,TsengBa,tw35187586,新北市,
163,6,SmallOK,tw63054410,臺南市,/tw/deck-build/recipe/nANnFz-vdDbSv-BCloam/
164,6,Ming,tw58028303,臺中市,/tw/deck-build/recipe/IDoWIl-boDeLc-rnKlGM/
165,6,Chun-Hao,tw25345098,臺中市,
166,6,Raymond,tw49082254,臺中市,
167,6,Nick,tw76371566,高雄市,/tw/deck-build/recipe/NUPrLJ-JLFJMK-AHuftC/
168,6,Jimmy,tw22696694,彰化縣,
169,6,GHG_Faye,tw38086655,臺北市,
170,6,Killden,tw97275186,新北市,/tw/deck-build/recipe/CcNfJe-pbHHXT-wdxCNY/
171,6,Uncle,tw10372860,新竹縣,/tw/deck-build/recipe/gwgGxM-fHhhuz-msXcCO/
172,6,HONG,tw93754264,新北市,
173,6,Yang,tw88209015,南投縣,
174,6,PENG,tw41852657,臺中市,
175,6,CLG_HoHo,tw53198253,臺中市,
176,6,Pululu,tw11512917,新竹縣,
177,6,OGBB,tw06225308,臺中市,
178,6,SkySky,tw92250919,新北市,/tw/deck-build/recipe/jnwvxe-MZzHte-TBCKda/
179,6,As,tw13174665,新北市,
180,6,HF_wei,tw15800518,桃園市,
181,6,LeoLiao,tw16179659,基隆市,
182,6,SidLin,tw69346217,臺北市,
183,6,Ave,tw64209062,新北市,
184,6,John486Rem,tw33811608,新北市,
185,6,Dennis,tw75820315,臺北市,
186,6,CHIU HSIN WEI,tw09904717,彰化縣,
187,6,YoYoYao,tw56082998,臺北市,/tw/deck-build/recipe/sGhyiP-lGRypO-tOTILd/
188,6,SHAO,tw30379002,臺中市,
189,6,ChiaChe,tw30011078,臺中市,
190,6,Sean666,tw46437830,臺中市,
191,6,Uz,tw33590907,臺中市,
192,6,Monkeyz,tw36173804,彰化縣,
193,6,shan,tw86177796,彰化縣,
194,6,Joy0730,tw84105600,新北市,
195,6,YoyoYang,tw57062134,新北市,
196,6,Mine_Uncle,tw01124210,臺南市,
197,6,Eric,tw84406921,新北市,
198,6,SOWA,tw28193746,臺北市,
199,6,Stayko,tw88117485,臺北市,
200,6,pieooo,tw86683243,新北市,
201,6,TiM-N1ARK,tw19291467,高雄市,
202,6,yuki,tw34557355,臺中市,/tw/deck-build/recipe/zCExaF-hWdZhI-eiYahB/
203,6,LNG+1,tw02367054,屏東縣,
204,6,boychen,tw23209128,臺北市,
205,6,hower,tw91106608,高雄市,
206,6,Kk,tw83841115,臺中市,/tw/deck-build/recipe/fBNveg-bOKaIn-hAHUnI/
207,6,Rjjiang,tw59882595,臺中市,
