rank,points,username,player_id,region,deck_url
1,20,Akashi,tw23764220,彰化縣,
2,12,Osnyani,tw97138451,新竹市,
3,10,Wei,tw53723254,臺中市,
4,10,海豹姐,tw01909140,彰化縣,
5,8,Johnny,tw50567676,苗栗縣,
6,8,Jazpig,tw33433069,新竹縣,
7,8,LittleLin,tw13366339,臺中市,
8,8,GMS-FangKaiyo,tw24854365,新竹縣,
9,6,Jaylee,tw69643850,臺中市,
10,6,Nick,tw02054385,臺中市,
11,6,Kevinkod,tw81021249,其它地區,
12,6,Siang,tw25684532,臺中市,
13,6,Nick,tw55000893,臺中市,
14,6,TopCard_Fu,tw77877383,新竹縣,
15,6,QQ,tw26175828,臺中市,
16,6,shawn,tw42309306,臺中市,
17,4,Jerry,tw45498080,臺中市,
18,4,Modred1104,tw44821842,臺中市,
19,4,Lazurite,tw41523616,臺中市,
20,4,Je,tw63675639,臺中市,
21,4,Yun,tw13224458,臺中市,
22,4,Liang,tw36942940,彰化縣,
23,4,Benny,tw94173678,臺中市,
24,4,Break,tw95045687,新竹市,
25,4,CHENBOXUN,tw39494537,臺中市,
26,4,Aki,tw41073870,臺中市,
27,4,Nobi,tw50758839,臺中市,
28,4,B.S.T Tim,tw39137201,臺中市,
29,4,Maousama,tw32252793,臺中市,
30,4,Rookie,tw04564553,臺中市,
31,4,Orange,tw77589256,臺中市,
32,4,Kevin,tw70406948,臺中市,
