rank,points,username,player_id,region,deck_url
1,20,PoYangHsu,tw10141695,高雄市,
2,12,mingchia,tw21601458,高雄市,
3,10,will,tw79188375,高雄市,
4,10,Mark,tw46076033,高雄市,
5,8,James,tw87713934,臺北市,
6,8,Dream-N1ARK,tw54462001,高雄市,
7,8,Danyang,tw03132048,高雄市,
8,8,Yang,tw60273793,高雄市,
9,6,DGene,tw48509542,嘉義市,
10,6,Z,tw14181070,高雄市,
11,6,Pupuman,tw83653424,高雄市,
12,6,Superpig,tw95668915,高雄市,
13,6,Minatsuki,tw30477292,高雄市,
14,6,Mr.Gengar,tw05925639,臺中市,
15,6,罐頭,tw45806310,高雄市,
16,6,翻轉-黃偉哲,tw40852343,臺南市,
17,4,B.N.C 林奕杰,tw75131206,高雄市,
18,4,LMK,tw75774280,高雄市,
19,4,StrongOrange,tw97885633,臺南市,
20,4,0501,tw83055994,高雄市,
21,4,Dantes,tw13965222,高雄市,
22,4,B.N.C 林宇廷,tw37556303,高雄市,
23,4,Klefki_Alice1023,tw69121729,高雄市,
24,4,cian,tw78657682,高雄市,
25,4,PingYu,tw05602573,高雄市,
26,4,Yeen,tw73048413,臺南市,
27,4,Abner-N1ARK,tw71084142,高雄市,
28,4,BeiX2,tw35603412,高雄市,
29,4,Woody,tw17216363,高雄市,
30,4,Hanami,tw99072428,高雄市,
31,4,LNG+1,tw02367054,屏東縣,
32,4,薄荷Echo,tw55332465,高雄市,
