rank,points,username,player_id,region,deck_url
1,20,哈力栗,tw44344603,高雄市,
2,12,Ray,tw73106123,高雄市,
3,10,TCGSTORE_MASSA,tw85147749,臺北市,
4,10,Adan,tw93829445,高雄市,
5,8,ALO,tw18218174,高雄市,
6,8,Yule,tw64474352,高雄市,
7,8,Zhang1205,tw22171154,高雄市,
8,8,Xiaogotall,tw58532021,高雄市,
9,6,曉致,tw63508480,高雄市,
10,6,瘋桌遊楠梓店正老闆徵闆娘！,tw02559687,高雄市,
11,6,popo,tw94133669,高雄市,
12,6,Foxfool2527,tw62197981,屏東縣,
13,6,Eli,tw61299751,高雄市,
14,6,DoD,tw40338935,臺南市,
15,6,Wynne,tw82272345,高雄市,
16,6,"Chang,I-Hsiang",tw89343025,臺中市,
