rank,points,username,player_id,region,deck_url
1,20,Ianyang,tw45485735,高雄市,
2,12,ED,tw97066779,高雄市,
3,10,Mr.O,tw90147793,高雄市,
4,10,CCT_Shirakami,tw54665545,高雄市,
5,8,Cloud,tw55484477,高雄市,
6,8,vegetable,tw15743285,高雄市,
7,8,Sin,tw61279434,高雄市,
8,8,Abner-N1ARK,tw71084142,高雄市,
9,6,曉致,tw63508480,高雄市,
10,6,J_K,tw21162041,高雄市,
11,6,Catzilla,tw90301662,基隆市,
12,6,PoYangHsu,tw10141695,高雄市,
13,6,fuchi,tw35829419,高雄市,
14,6,Crow,tw16619875,高雄市,
15,6,Rukai-Warriors,tw96137948,屏東縣,
16,6,totototo,tw26186753,高雄市,
