rank,points,username,player_id,region,deck_url
1,20,rio1022,tw68088789,高雄市,
2,12,Jelly,tw74783492,新北市,
3,10,YuAn._84,tw12769027,新北市,
4,10,OTK_Miso,tw19804425,新北市,
5,8,Steve,tw08809647,新北市,
6,8,HaoLei_Fish,tw10864190,新北市,
7,8,LeeKai,tw26670105,臺北市,
8,8,Forehead,tw37173355,新北市,
9,6,Dr.K,tw56111018,臺北市,
10,6,bamboo,tw65483922,新北市,
11,6,Hsun,tw92487491,臺北市,
12,6,PTCG-BOY,tw18142838,臺北市,
13,6,FF,tw76568846,新北市,
14,6,baobaobaby530,tw78670690,臺北市,
15,6,Wen,tw08814300,新北市,
16,6,Leon,tw49181959,新北市,
17,4,Tym,tw83751916,新北市,
18,4,阿童,tw39185310,臺北市,
19,4,DCG_M1DSKY,tw16152234,新竹市,
20,4,ThatWenYen,tw33742727,高雄市,
21,4,Wade010926,tw42986392,臺北市,
22,4,86,tw94971550,臺北市,
23,4,GHG-MXK,tw51046647,新北市,
24,4,Bilitherubin,tw38743212,新北市,
25,4,JayC,tw07460167,新北市,
26,4,JPL,tw70889763,新北市,
27,4,James,tw34406887,新竹縣,
28,4,David,tw87203702,新北市,
29,4,Shanks,tw28750216,新北市,
30,4,Rong,tw75501461,新北市,
31,4,Heisenberg,tw22529091,臺北市,
32,4,walkaway,tw09982553,新北市,
