rank,points,username,player_id,region,deck_url
1,20,Jimmy,tw22147179,新竹縣,
2,12,sunking,tw64652700,苗栗縣,
3,10,Henry,tw82259698,新竹市,
4,10,Tony777,tw89297350,臺中市,
5,8,aurora,tw58040892,新北市,
6,8,Johnny,tw50567676,苗栗縣,
7,8,LSS,tw54378013,新北市,
8,8,Joshua,tw58176881,新竹市,
9,6,Ken,tw96097470,苗栗縣,
10,6,Sean777,tw04850060,苗栗縣,
11,6,KHOO777,tw73316908,苗栗縣,
12,6,Wen,tw08814300,新北市,
13,6,Jerry,tw45498080,臺中市,
14,6,PTCG-BOY,tw18142838,臺北市,
15,6,Toshi,tw87901293,新竹縣,
16,6,Raymond,tw49082254,臺中市,
17,4,MorganTsai,tw68822994,新竹市,
18,4,real1027,tw99213849,新竹縣,
19,4,Tim,tw52228600,新竹市,
20,4,Lazurite,tw41523616,臺中市,
21,4,Claire,tw87312651,苗栗縣,
22,4,JoeyChang0521,tw89882541,新竹縣,
23,4,Andy,tw19089077,苗栗縣,
24,4,Bella,tw91876395,苗栗縣,
25,4,Break,tw95045687,新竹市,
26,4,Katt,tw93787639,新竹縣,
27,4,jim,tw72244502,苗栗縣,
28,4,mj730709,tw66591069,新北市,
29,4,WEI,tw50453642,澎湖縣,
30,4,Kai,tw04215857,苗栗縣,
31,4,Yang,tw88209015,南投縣,
32,4,Leo,tw82777276,苗栗縣,
