rank,points,username,player_id,region,deck_url
1,20,LUN,tw56605426,臺南市,
2,12,Mew_宥緯wade,tw81124094,新北市,
3,10,DoD,tw40338935,臺南市,
4,10,Yang,tw60273793,高雄市,
5,8,ScreamTail,tw42619935,臺南市,
6,8,Mr.Gengar,tw05925639,臺中市,
7,8,Ray,tw59978529,臺南市,
8,8,AndrewChung,tw89973725,高雄市,
9,6,castle116,tw51710380,桃園市,
10,6,YC,tw00606531,嘉義市,
11,6,CTS_亭姨,tw79984877,臺南市,
12,6,KT,tw64220350,嘉義市,
13,6,PoYangHsu,tw10141695,高雄市,
14,6,Shishimaru,tw93999361,嘉義縣,
15,6,曉致,tw63508480,高雄市,
16,6,TCGSTORE_MASSA,tw85147749,臺北市,
