rank,points,username,player_id,region,deck_url
1,20,CaiMingFeng,tw51147332,新北市,
2,12,Laolio,tw29536370,新北市,
3,10,DCG_M1DSKY,tw16152234,新竹市,
4,10,PTCG-BOY,tw18142838,臺北市,
5,8,XJH_Fengshen,tw15026318,新北市,
6,8,Tangfen,tw02826499,新北市,
7,8,GHG_Faye,tw38086655,臺北市,
8,8,Friedrich,tw15171356,桃園市,
9,6,NewBee,tw59096586,桃園市,
10,6,Benjamin,tw99268898,臺北市,
11,6,ScreamTail,tw42619935,臺南市,
12,6,ting,tw18906406,新北市,
13,6,J35815916,tw09574160,高雄市,
14,6,AndyChou,tw44127879,新北市,
15,6,Nine-tailedfox,tw87180928,桃園市,
16,6,Evan,tw91677599,新北市,
17,4,WoXianGong,tw87500073,新北市,
18,4,Anna,tw33976962,新北市,
19,4,FrostNova,tw22093071,臺北市,
20,4,Austin,tw12786878,臺北市,
21,4,Toby,tw29265523,新北市,
22,4,Tiger,tw15435377,新北市,
23,4,tuclub0723,tw86299187,新北市,
24,4,Rueisian,tw28186951,新北市,
25,4,GHG_Andro,tw20198051,新北市,
26,4,BossTang,tw48793078,基隆市,
27,4,Maomao,tw79180495,新北市,
28,4,Nkrs,tw29121960,新北市,
29,4,HAO-YU,tw65972314,新北市,
30,4,Dawn,tw58114468,桃園市,
31,4,Rich,tw36653768,新北市,
32,4,GHG_PeterWine,tw16132632,宜蘭縣,
