rank,points,username,player_id,region,deck_url
1,100,XiJinping,tw97165922,新竹市,
2,75,YuAn._84,tw12769027,新北市,
3,50,FanFan,tw76708967,新北市,
4,50,Kayson,tw81419386,新北市,
5,25,JayWu100,tw85313935,新北市,
6,25,TCGSTORE_SHAOTONG,tw03103631,臺北市,
7,25,LINCHENJUI,tw91466649,新北市,
8,25,Rich,tw36653768,新北市,
9,20,YUE,tw09225755,南投縣,/tw/deck-build/recipe/tfMkxQ-DpHJZy-cFsgNE/
10,20,ED,tw97066779,高雄市,
11,20,Jun,tw98211582,桃園市,
12,20,Abner-N1ARK,tw71084142,高雄市,
13,20,Mario,tw52987791,臺北市,
14,20,Marc,tw80275315,高雄市,
15,20,Wade010926,tw42986392,臺北市,
16,20,TCGSTORE_Mike,tw55774266,桃園市,
17,15,Sunny,tw50896397,新竹縣,/tw/deck-build/recipe/LtYpdr-XaUjgJ-usiikF/
18,15,Henry,tw82259698,新竹市,
19,15,TheONE_KuoPinYi,tw96234784,臺北市,
20,15,Joshua,tw58176881,新竹市,
21,15,Phoenixweng,tw36372317,苗栗縣,/tw/deck-build/recipe/HeccWM-DExFkk-yhqAtN/
22,15,MJ,tw00570442,臺北市,
23,15,benjamin,tw40670915,桃園市,
24,15,TheONE_LINYOUYI,tw08069127,新北市,
25,15,Benjamin,tw99268898,臺北市,
26,15,aurora,tw58040892,新北市,
27,15,Anka,tw54587316,新北市,
28,15,Jerry,tw09468385,臺北市,
29,15,Sean,tw65322738,臺北市,
30,15,Shirakami,tw54665545,高雄市,
31,15,B.N.C 林奕杰,tw75131206,高雄市,
32,15,Austin,tw12786878,臺北市,
